T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-0.0005,-0.0001,1,0,0,0,0
132.621,132.621,1,0,0,0,0,140,0,0,20,-1,0,140,0.002,-0.0005,-0.0001,1,0,0,0,0
132.681,132.681,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0005,-0.0002,1,0,0,0,0
132.781,132.781,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0005,-0.0001,1,0,-1,0,0
132.881,132.881,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0004,-0.0001,1,0,0,0,0
132.981,132.981,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0004,-0.0001,1,0,0,0,0
133.081,133.081,0,0,0,0,0,140,0,0,20,0,0,140,0.0018,-0.0002,-0.0002,1,0,0,0,0
133.181,133.181,0,0,0,0,0,140,0,0,20,0,0,140,0.0018,-0.0002,-0.0002,1,0,0,0,0
133.281,133.281,0,0,0,0,0,140,0,0,20,0,0,140,0.0019,-0.0001,-0.0004,1,0,1,0,0
133.381,133.381,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0003,-0.0002,1,1,0,0,0
133.481,133.481,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0003,-0.0002,1,3,0,0,0
133.581,133.581,1,0,0,0,0,140,0,0,20,-1,0,140,0.002,-0.0003,-0.0001,1,6,0,0,0
133.681,133.681,0,0,0,0,0,140,0,0,20,0,0,140,0.0019,-0.0003,-0.0001,1,4,0,0,0
133.781,133.781,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0003,0,1,3,0,0,0
133.881,133.881,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0004,0,1,3,0,0,0
133.981,133.981,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0005,0,1,1,0,0,0
134.081,134.081,0,0,0,0,0,140,0,0,20,0,0,140,0.0019,-0.0005,0,1,0,0,0,0
134.181,134.181,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0004,-0.0001,1,0,0,0,0
134.291,134.291,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0004,-0.0001,1,0,1,0,0
134.391,134.391,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0003,-0.0001,1,0,1,0,0
134.491,134.491,0,0,0,0,0,140,0,0,20,0,0,140,0.0021,-0.0003,-0.0001,1,0,1,0,0
134.591,134.591,0,0,0,0,0,140,0,0,20,0,0,140,0.002,-0.0005,-0.0001,1,0,0,0,0
134.691,134.691,0,0,0,0,0,140,0,0,20,0,0,140,0.0013,-0.0007,-0.0004,1,0,0,0,0
134.791,134.791,0,0,1,0,0,140,0,0,20,0,0,139,0.0018,0.0001,0.0002,1,0,0,0,0
134.891,134.891,0,0,1,0,0,140,0,0,20,0,0,139,0.0043,0.0015,-0.0001,1,-1,2,0,0
134.991,134.991,0,0,1,0,0,140,0,0,20,0,0,139,0.0049,-0.0004,0,1,0,0,0,0
135.091,135.091,1,-1,2,0,0,140,0,0,20,-1,1,138,0.0034,-0.0055,0.0012,1,0,1,0,0
135.191,135.191,2,-1,3,0,0,140,-1,0,20,-2,1,137,0.0014,-0.0097,0.0028,0.9999,0,2,0,0
135.291,135.291,2,-1,5,0,0,140,-1,0,20,-2,1,135,0.001,-0.0121,0.0039,0.9999,0,0,0,0
135.391,135.391,2,-1,5,0,0,140,-1,0,20,-2,1,135,0.001,-0.0121,0.0039,0.9999,0,1,0,0
135.491,135.491,2,-1,5,0,0,140,-1,0,20,-2,1,135,0.001,-0.0121,0.0039,0.9999,0,1,0,0
135.591,135.591,2,0,7,0,0,140,-1,0,20,-2,0,133,0.002,-0.0134,0.0054,0.9999,0,1,0,0
135.691,135.691,3,1,10,0,0,140,-1,0,20,-3,-1,130,0.0058,-0.0104,0.0094,0.9999,0,1,0,0
