T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-0.0038,-0.0238,-0.9997,0,0,0,0
481.901,481.901,0,-1,4,0,0,140,0,0,20,0,1,136,0.002,-0.0038,-0.0238,-0.9997,0,0,0,0
481.951,481.951,0,0,2,0,0,140,0,0,20,0,0,138,0.0018,-0.0037,-0.0238,-0.9997,0,0,0,0
482.051,482.051,0,0,1,0,0,140,0,0,20,0,0,139,0.0018,-0.0039,-0.0236,-0.9997,0,0,0,0
482.151,482.151,0,0,2,0,0,140,0,0,20,0,0,138,0.002,-0.0039,-0.0236,-0.9997,0,0,0,0
482.251,482.251,0,0,2,0,0,140,0,0,20,0,0,138,0.0019,-0.0037,-0.0239,-0.9997,0,0,0,0
482.351,482.351,0,0,2,0,0,140,0,0,20,0,0,138,0.0016,-0.0041,-0.0236,-0.9997,0,0,0,0
482.451,482.451,0,0,2,0,0,140,0,0,20,0,0,138,0.002,-0.0039,-0.0239,-0.9997,0,0,0,0
482.551,482.551,0,0,2,0,0,140,0,0,20,0,0,138,0.0021,-0.0037,-0.0238,-0.9997,0,0,0,0
482.651,482.651,0,0,2,0,0,140,0,0,20,0,0,138,0.0018,-0.0039,-0.0237,-0.9997,0,0,0,0
482.751,482.751,0,0,2,0,0,140,0,0,20,0,0,138,0.002,-0.0037,-0.0239,-0.9997,0,0,0,0
482.851,482.851,0,0,2,0,0,140,0,0,20,0,0,138,0.0017,-0.0037,-0.0241,-0.9997,0,0,0,0
482.951,482.951,0,1,2,0,0,140,0,0,20,0,-1,138,0.0019,-0.0026,-0.0245,-0.9997,2,0,0,0
483.051,483.051,0,0,2,0,0,140,0,0,20,0,0,138,0.002,-0.0033,-0.0233,-0.9997,3,0,0,0
483.151,483.151,0,0,1,0,0,140,0,0,20,0,0,139,0.0015,-0.0018,-0.0215,-0.9998,3,-1,0,0
483.251,483.251,0,-1,2,0,0,140,0,0,20,0,1,138,-0.0002,0.0011,-0.0185,-0.9998,2,-2,0,0
483.351,483.351,0,0,3,0,0,140,0,0,20,0,0,137,0.0014,0.005,-0.0156,-0.9999,0,0,0,0
483.451,483.451,0,0,3,0,0,140,0,0,20,0,0,137,0.0014,0.005,-0.0156,-0.9999,0,0,0,0
483.551,483.551,1,0,5,0,0,140,0,0,20,-1,0,135,0.0027,0.0065,-0.0139,-0.9999,0,0,0,0
483.651,483.651,1,0,6,0,0,140,0,0,20,-1,0,134,0.0033,0.0046,-0.0122,-0.9999,0,0,0,0
483.751,483.751,1,-1,8,0,0,140,0,0,20,-1,1,132,0.0031,0.0035,-0.0105,-0.9999,-1,1,0,0
483.851,483.851,1,0,10,0,0,140,0,0,20,-1,0,130,0.0022,0.004,-0.0091,-0.9999,-2,1,0,0
483.951,483.951,0,0,12,0,0,140,0,0,20,0,0,128,0.0014,0.0021,-0.0078,-1,-2,2,0,0
484.051,484.051,0,0,14,0,0,140,0,0,20,0,0,126,-0.0004,-0.0003,-0.0071,-1,-2,3,0,0
484.151,484.151,-1,1,16,0,0,140,0,0,20,1,-1,124,-0.0029,-0.0024,-0.006,-1,-1,2,0,0
484.251,484.251,-1,1,17,0,0,140,0,0,20,1,-1,123,-0.0048,-0.0043,-0.0052,-1,-1,2,0,0
484.351,484.351,-1,1,19,0,0,140,0,0,20,1,-1,121,-0.0054,-0.0045,-0.0045,-1,-1,2,0,0
484.451,484.451,-1,1,19,0,0,140,0,0,20,1,-1,121,-0.0054,-0.0046,-0.0045,-1,-2,2,0,0
484.561,484.561,-3,3,24,0,0,140,0,0,20,3,-3,116,-0.0081,-0.0013,-0.0013,-1,-5,3,0,0
484.661,484.661,-3,3,26,0,0,140,0,0,20,3,-3,114,-0.0068,-0.0012,-0.0001,-1,-5,3,0,0
484.761,484.761,-2,3,27,0,0,140,0,0,20,2,-3,113,-0.0059,-0.0003,0.0012,-1,-2,3,0,0
484.861,484.861,-2,3,29,0,0,140,0,0,20,2,-3,111,-0.0037,-0.0004,0.0012,-1,0,3,0,0
485.061,485.061,-4,3,33,0,0,140,0,0,20,4,-3,107,-0.0034,-0.0052,0.0013,-1,-2,0,0,0
485.261,485.261,-5,4,39,0,0,140,0,0,20,5,-4,101,-0.0039,-0.0062,0.0017,-1,-2,3,0,0
485.361,485.361,-4,5,41,0,0,140,0,0,20,4,-5,99,-0.0026,-0.0013,0.0009,-1,-1,1,0,0
485.461,485.461,-5,5,43,0,0,140,0,0,20,5,-5,97,-0.0039,0.0007,0.0008,-1,-2,-1,0,0
485.561,485.561,-4,4,45,0,0,140,0,0,20,4,-4,95,-0.0042,0.0014,0.0017,-1,0,0,0,0
485.661,485.661,-4,5,48,0,0,140,0,0,20,4,-5,92,-0.0002,0.001,0.003,-1,-1,4,0,0
485.861,485.861,-5,5,50,0,0,140,0,0,20,5,-5,90,0.0032,-0.0028,0.0038,-1,-1,5,0,0
486.061,486.061,-5,6,56,0,0,140,0,0,20,5,-6,84,-0.0029,-0.0023,0.001,-1,0,0,0,0
486.261,486.261,-5,7,62,0,0,140,0,0,20,5,-7,78,-0.0116,0.0042,-0.0041,-0.9999,0,0,0,0
486.361,486.361,-5,8,65,0,0,140,0,0,20,5,-8,75,-0.0092,0.001,-0.0083,-0.9999,-1,2,0,0
486.461,486.461,-5,8,67,0,0,140,0,0,20,5,-8,73,-0.0042,-0.0036,-0.0105,-0.9999,-1,1,0,0
486.661,486.661,-5,8,72,0,0,140,0,0,20,5,-8,68,0.0012,-0.0061,-0.0135,-0.9999,0,0,0,0
486.861,486.861,-5,8,74,0,0,140,0,0,20,5,-8,66,0.0017,-0.0042,-0.015,-0.9999,0,1,0,0
487.161,487.161,-6,8,83,0,0,140,0,0,20,6,-8,57,-0.0003,-0.0025,-0.0134,-0.9999,0,-1,0,0
487.361,487.361,-5,9,87,0,0,140,0,-1,20,5,-9,53,-0.0027,-0.0013,-0.0116,-0.9999,4,1,0,0
487.561,487.561,-5,10,92,0,0,140,0,-1,20,5,-10,48,-0.0027,-0.0021,-0.0101,-0.9999,-1,2,0,0
487.761,487.761,-5,9,96,0,0,140,0,-1,20,5,-9,44,-0.0006,-0.0021,-0.0061,-1,1,-1,0,0
487.961,487.961,-4,10,101,0,0,140,0,-1,17,4,-10,39,0.0005,-0.0011,-0.0051,-1,2,3,0,0
488.171,488.171,-4,10,106,0,0,140,0,-1,15,4,-10,34,-0.0009,0,-0.004,-1,0,0,0,0
488.271,488.271,-4,9,108,0,0,140,0,0,14,4,-9,32,-0.0008,-0.0001,-0.0028,-1,0,0,0,0
488.371,488.371,-4,9,110,0,0,140,0,0,13,4,-9,30,-0.0016,-0.0009,-0.0019,-1,2,0,0,0
488.471,488.471,-4,10,113,0,0,140,0,-1,12,4,-10,27,-0.0015,-0.0009,-0.0004,-1,1,0,0,0
488.571,488.571,-4,10,117,0,0,140,0,-1,10,4,-10,23,-0.0005,-0.0007,0.0006,-1,0,0,0,0
488.671,488.671,-4,10,120,0,0,140,0,-1,9,4,-10,20,-0.001,-0.0006,0.0013,-1,0,-2,0,0
488.771,488.771,-3,10,123,0,0,140,0,-1,7,3,-10,17,-0.0013,-0.0007,0.0017,-1,0,-2,0,0
488.871,488.871,-3,10,126,0,0,140,0,-2,6,3,-10,14,-0.0024,-0.0017,0.0027,-1,2,0,0,-1
488.971,488.971,-3,10,128,0,0,140,0,-2,5,3,-10,12,-0.0011,-0.0026,0.003,-1,1,0,0,-1
489.071,489.071,-3,10,130,0,0,140,0,-2,4,3,-10,10,-0.0012,-0.003,0.0043,-1,1,-6,0,-1
489.171,489.171,-3,10,131,0,0,140,0,-2,4,3,-10,9,-0.0015,-0.0025,0.0048,-1,3,0,0,-1
489.271,489.271,-3,10,133,0,0,140,0,-2,2,3,-10,7,-0.0003,-0.0015,0.0038,-1,1,0,0,-1
489.371,489.371,-2,9,133,0,0,140,0,-1,2,2,-9,7,-0.0004,-0.0007,0.0023,-1,2,0,0,0
489.471,489.471,-2,8,134,0,75,140,0,20,2,2,67,6,-0.0003,-0.0009,0.0015,-1,2,1,0,19
489.571,489.571,-2,8,135,0,75,140,0,20,1,2,67,5,0.0001,-0.001,0.0009,-1,1,5,0,19
489.671,489.671,-3,8,135,0,75,140,0,20,1,3,67,5,-0.0007,-0.0008,0.0009,-1,0,-2,0,19
489.771,489.771,-3,9,135,0,75,140,0,20,1,3,66,5,0.0007,-0.0006,0.0002,-1,0,-14,0,19
489.871,489.871,-2,9,136,0,75,140,0,20,1,2,66,4,0.0143,-0.0009,0.0001,-0.9999,0,1,0,19
489.971,489.971,-2,9,136,0,75,140,0,20,1,2,66,4,0.0278,-0.0021,-0.0004,-0.9996,0,9,0,19
490.071,490.071,-2,9,136,0,75,140,0,20,1,2,66,4,0.0241,-0.0029,-0.0007,-0.9997,1,13,0,19
490.171,490.171,-2,10,136,0,75,140,0,19,1,2,65,4,0.0136,-0.0031,-0.0004,-0.9999,0,15,0,18
490.271,490.271,-2,12,136,0,75,140,0,19,1,2,63,4,0.0059,-0.0031,-0.0016,-1,0,10,0,18
490.371,490.371,-1,14,136,0,75,140,0,18,1,1,61,4,0.0032,-0.003,-0.0026,-1,0,13,0,17
490.471,490.471,-1,15,136,0,75,140,0,18,1,1,60,4,0.0027,-0.0032,-0.0027,-1,0,10,0,17
490.571,490.571,-1,18,136,0,75,140,0,17,1,1,57,4,0.0053,-0.0025,-0.0036,-1,0,9,0,16
490.671,490.671,-1,19,136,0,75,140,0,17,1,1,56,4,0.0048,-0.0022,-0.0029,-1,1,14,0,16
490.771,490.771,0,21,135,0,75,140,0,16,1,0,54,5,0.0035,-0.0021,-0.002,-1,0,20,0,15
490.871,490.871,0,23,135,0,75,140,0,15,1,0,52,5,0.0028,-0.0022,-0.0014,-1,2,3,0,14
490.971,490.971,0,25,135,0,75,140,0,15,1,0,50,5,0.0028,-0.0022,-0.0014,-1,1,9,0,14
491.071,491.071,0,27,136,0,75,140,0,14,1,0,48,4,0.0016,-0.0043,0.0011,-1,0,18,0,13
491.181,491.181,0,28,136,0,75,140,0,14,1,0,47,4,0.0001,-0.0043,0.0025,-1,0,15,0,13
491.281,491.281,0,31,136,0,75,140,0,13,1,0,44,4,0.0002,-0.0044,0.0036,-1,0,16,0,12
491.381,491.381,0,32,136,0,75,140,0,13,1,0,43,4,0,-0.0034,0.0047,-1,0,19,0,12
491.481,491.481,1,34,136,0,75,140,0,12,1,-1,41,4,-0.0004,-0.0033,0.005,-1,0,16,0,11
491.581,491.581,1,36,136,0,75,140,0,12,1,-1,39,4,-0.0016,-0.0037,0.0045,-1,0,14,0,11
491.681,491.681,1,37,136,0,75,140,0,11,1,-1,38,4,-0.002,-0.0033,0.0044,-1,0,12,0,10
491.781,491.781,1,39,136,0,75,140,0,11,1,-1,36,4,-0.0028,-0.0041,0.0037,-1,1,12,0,10
491.881,491.881,1,41,136,0,75,140,0,10,1,-1,34,4,-0.0028,-0.0046,0.0032,-1,0,14,0,9
491.981,491.981,1,42,136,0,75,140,0,10,1,-1,33,4,-0.0034,-0.0046,0.0024,-1,0,11,0,9
492.081,492.081,2,44,136,0,75,140,0,9,1,-2,31,4,-0.0031,-0.0044,0.002,-1,0,12,0,8
492.181,492.181,2,45,136,0,75,140,0,9,1,-2,30,4,-0.003,-0.0041,0.0009,-1,0,11,0,8
492.281,492.281,2,47,136,0,75,140,0,8,1,-2,28,4,-0.0023,-0.004,0.0004,-1,1,12,0,7
492.381,492.381,3,48,136,0,75,140,0,8,1,-3,27,4,-0.002,-0.0041,-0.0004,-1,2,11,0,7
492.481,492.481,3,49,136,0,75,140,0,8,1,-3,26,4,-0.0016,-0.0047,-0.0015,-1,1,9,0,7
492.581,492.581,3,50,137,0,75,140,0,7,0,-3,25,3,-0.0025,-0.0047,-0.0018,-1,0,9,0,6
492.681,492.681,3,52,137,0,75,140,0,4,0,-3,23,3,-0.0028,-0.0046,-0.0024,-1,2,13,0,3
492.781,492.781,3,53,137,0,75,140,0,4,0,-3,22,3,-0.0023,-0.0044,-0.0023,-1,1,7,0,3
492.881,492.881,4,53,137,0,75,140,0,4,0,-4,22,3,-0.0026,-0.0045,-0.002,-1,1,9,0,3
492.981,492.981,4,54,137,0,75,140,0,3,0,-4,21,3,-0.0058,-0.0046,-0.001,-1,1,7,0,2
493.081,493.081,5,55,136,0,75,140,0,3,1,-5,20,4,-0.0071,-0.0038,-0.0003,-1,2,4,0,2
493.181,493.181,5,56,136,0,75,140,0,3,1,-5,19,4,-0.0067,-0.0039,0.001,-1,3,7,0,2
493.281,493.281,5,57,136,0,75,140,0,3,1,-5,18,4,-0.0058,-0.0037,0.0025,-1,1,6,0,2
