T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,-0.0012,-0.0232,0.9997,0,0,0,0
140.451,140.451,1,1,1,0,0,140,0,0,20,-1,-1,139,0.0007,-0.0012,-0.0232,0.9997,0,0,0,0
140.541,140.541,0,0,0,0,0,140,0,0,20,0,0,140,0.0006,-0.0013,-0.0232,0.9997,0,0,0,0
140.631,140.631,0,0,0,0,0,140,0,0,20,0,0,140,0.0007,-0.0013,-0.0232,0.9997,0,0,0,0
140.741,140.741,0,0,0,0,0,140,0,0,20,0,0,140,0.0008,-0.0012,-0.0232,0.9997,0,0,0,0
140.841,140.841,0,0,0,0,0,140,0,0,20,0,0,140,0.0008,-0.0013,-0.0232,0.9997,0,0,0,0
140.941,140.941,0,0,0,0,0,140,0,0,20,0,0,140,0.0007,-0.0012,-0.0232,0.9997,0,0,0,0
141.041,141.041,0,0,0,0,0,140,0,0,20,0,0,140,0.0007,-0.0016,-0.0229,0.9997,0,0,0,0
141.141,141.141,0,0,0,0,0,140,0,0,20,0,0,140,0.0007,-0.0013,-0.0231,0.9997,0,0,0,0
141.241,141.241,0,0,0,0,0,140,0,0,20,0,0,140,0.0007,-0.0012,-0.0231,0.9997,-1,0,0,0
141.341,141.341,0,0,0,0,0,140,0,0,20,0,0,140,0.0009,-0.001,-0.0229,0.9997,0,0,0,0
141.441,141.441,0,0,0,0,0,140,0,0,20,0,0,140,0.0026,-0.0011,-0.0231,0.9997,3,0,0,0
141.541,141.541,0,0,0,0,0,140,0,0,20,0,0,140,0.0026,-0.003,-0.0221,0.9997,5,0,0,0
141.641,141.641,1,0,1,0,0,140,0,0,20,-1,0,139,0.0011,-0.0071,-0.0193,0.9998,5,0,0,0
141.741,141.741,1,0,2,0,0,140,0,0,20,-1,0,138,-0.0002,-0.0104,-0.0164,0.9998,3,0,0,0
141.841,141.841,1,0,4,0,0,140,0,0,20,-1,0,136,-0.0014,-0.0123,-0.0132,0.9998,2,0,0,0
141.941,141.941,1,0,5,0,0,140,0,0,20,-1,0,135,-0.0004,-0.0118,-0.011,0.9999,0,0,0,0
142.041,142.041,2,0,7,0,0,140,0,0,20,-2,0,133,0.0002,-0.0103,-0.0086,0.9999,0,1,0,0
142.141,142.141,2,0,9,0,0,140,0,0,20,-2,0,131,0.0015,-0.0084,-0.0062,0.9999,0,1,0,0
