T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.0007,-0.0003,1,0,0,0,0
155.331,155.331,0,0,1,0,0,140,0,0,20,0,0,139,0.0002,-0.0007,-0.0003,1,0,0,0,0
155.341,155.341,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0008,-0.0003,1,0,0,0,0
155.441,155.441,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0009,-0.0003,1,0,0,0,0
155.541,155.541,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0009,-0.0003,1,0,0,0,0
155.641,155.641,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0009,-0.0003,1,0,0,0,0
155.741,155.741,1,2,1,0,0,140,0,0,20,-1,-2,139,0.0002,0.0004,0,1,2,6,0,0
155.841,155.841,1,2,1,0,0,140,0,0,20,-1,-2,139,0.0002,0.0004,0,1,2,6,0,0
155.941,155.941,1,1,0,0,0,140,0,0,20,-1,-1,140,0.0004,-0.0007,-0.0001,1,0,1,0,0
156.041,156.041,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0007,-0.0002,1,-1,-3,0,0
156.141,156.141,0,-1,0,0,0,140,0,0,20,0,1,140,0,-0.0006,-0.0002,1,0,-2,0,0
156.241,156.241,0,0,0,0,0,140,0,0,20,0,0,140,0,-0.0005,-0.0002,1,1,1,0,0
156.341,156.341,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0006,-0.0003,1,2,0,0,0
156.441,156.441,0,0,0,0,0,140,0,0,20,0,0,140,0.0003,-0.0006,-0.0004,1,2,0,0,0
156.541,156.541,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0006,-0.0002,1,1,0,0,0
156.641,156.641,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0005,-0.0002,1,0,0,0,0
156.741,156.741,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0005,-0.0002,1,0,0,0,0
156.841,156.841,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0005,-0.0002,1,0,0,0,0
156.941,156.941,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0005,-0.0002,1,0,0,0,0
157.051,157.051,0,1,0,0,0,140,0,0,20,0,-1,140,-0.0002,-0.0002,-0.0001,1,0,1,0,0
157.151,157.151,0,1,0,0,0,140,0,0,20,0,-1,140,-0.0002,-0.0002,-0.0001,1,0,2,0,0
157.251,157.251,0,1,0,0,0,140,0,0,20,0,-1,140,-0.0002,-0.0002,-0.0001,1,0,2,0,0
157.351,157.351,1,2,0,0,0,140,0,0,20,-1,-2,140,-0.0008,-0.0004,-0.0004,1,0,1,0,0
157.451,157.451,0,0,0,0,0,140,0,0,20,0,0,140,0.0003,-0.0005,-0.0001,1,-1,-4,0,0
157.551,157.551,0,0,1,0,0,140,0,0,20,0,0,139,0.0004,-0.0004,0.0001,1,-2,-2,0,0
157.651,157.651,0,0,1,0,0,140,0,0,20,0,0,139,0.0005,-0.0004,0.0004,1,0,0,0,0
157.751,157.751,0,0,1,0,0,140,0,0,20,0,0,139,0.0039,-0.0016,0.0014,1,0,0,0,0
157.851,157.851,1,0,2,0,0,140,0,0,20,-1,0,138,0.0034,-0.0049,0.0025,1,0,1,0,0
157.951,157.951,1,0,3,0,0,140,0,0,20,-1,0,137,0.0024,-0.0077,0.0034,1,0,1,0,0
158.051,158.051,1,0,3,0,0,140,0,0,20,-1,0,137,0.0024,-0.0077,0.0034,1,0,1,0,0
158.151,158.151,1,0,3,0,0,140,0,0,20,-1,0,137,0.0024,-0.0077,0.0034,1,1,0,0,0
158.251,158.251,1,0,6,0,0,140,0,0,20,-1,0,134,0.0022,-0.0072,0.0039,1,3,0,0,0
158.351,158.351,1,0,6,0,0,140,0,0,20,-1,0,134,0.0022,-0.0072,0.0039,1,0,0,0,0
158.451,158.451,0,2,18,0,0,140,0,0,20,0,-2,122,0.0033,-0.0037,0.0055,1,0,0,0,0
158.551,158.551,1,1,16,0,0,140,0,0,20,-1,-1,124,0.0032,-0.0045,0.0077,1,0,1,0,0
158.651,158.651,2,0,12,0,0,140,0,0,20,-2,0,128,0.0059,-0.0044,0.0096,0.9999,1,0,0,0
158.751,158.751,2,1,12,0,0,140,0,0,20,-2,-1,128,0.006,-0.0046,0.0096,0.9999,0,3,0,0
158.851,158.851,2,1,11,0,0,140,0,0,20,-2,-1,129,0.0072,-0.0034,0.0117,0.9999,0,2,0,0
158.951,158.951,1,3,24,0,0,140,0,0,20,-1,-3,116,0.0067,-0.003,0.0138,0.9999,0,0,0,0
159.051,159.051,1,3,27,0,0,140,0,0,20,-1,-3,113,0.0066,-0.0025,0.0158,0.9999,0,2,0,0
159.151,159.151,1,3,27,0,0,140,0,0,20,-1,-3,113,0.0069,-0.0035,0.0169,0.9998,0,2,0,0
