T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0004,0.0012,1,0,0,0,0
181.311,181.311,0,0,2,0,0,140,0,0,20,0,0,138,-0.0001,0.0004,0.0012,1,0,0,0,0
181.351,181.351,0,0,0,0,0,140,0,0,20,0,0,140,-0.0005,0.0005,0.0012,1,0,0,0,0
181.451,181.451,0,0,0,0,0,140,0,0,20,0,0,140,-0.0006,0.0006,0.0013,1,0,0,0,0
181.551,181.551,0,0,0,0,0,140,0,0,20,0,0,140,-0.0001,0.0003,0.0012,1,0,0,0,0
181.651,181.651,0,0,0,0,0,140,0,0,20,0,0,140,-0.0003,0.0002,0.0011,1,0,0,0,0
181.751,181.751,0,0,0,0,0,140,0,0,20,0,0,140,-0.0005,0.0006,0.0012,1,0,0,0,0
181.851,181.851,0,0,0,0,0,140,0,0,20,0,0,140,0,0.0001,0.0012,1,0,0,0,0
181.951,181.951,0,0,0,0,0,140,0,0,20,0,0,140,-0.0006,0.0001,0.0011,1,0,0,0,0
182.051,182.051,0,0,1,0,0,140,0,0,20,0,0,139,-0.0001,0.0005,0.0013,1,0,0,0,0
182.151,182.151,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,0.0002,0.0004,1,0,0,0,0
182.251,182.251,0,0,0,0,0,140,0,0,20,0,0,140,0.003,0.0005,-0.0013,1,1,0,0,0
182.361,182.361,0,0,1,0,0,140,0,0,20,0,0,139,0.0041,-0.0002,-0.0039,1,1,0,0,0
182.461,182.461,1,0,2,0,0,140,0,0,20,-1,0,138,0.0029,-0.0025,-0.0054,1,2,0,0,0
182.561,182.561,1,0,3,0,0,140,0,0,20,-1,0,137,0.0023,-0.0047,-0.007,1,2,0,0,0
182.661,182.661,1,0,4,0,0,140,0,0,20,-1,0,136,0.0014,-0.0072,-0.0075,0.9999,1,0,0,0
182.761,182.761,1,0,6,0,0,140,0,0,20,-1,0,134,0.0015,-0.0073,-0.0073,0.9999,0,0,0,0
182.861,182.861,1,0,8,0,0,140,0,0,20,-1,0,132,0.0018,-0.0055,-0.0067,1,0,0,0,0
182.961,182.961,1,0,10,0,0,140,0,0,20,-1,0,130,0.0032,-0.0017,-0.0064,1,0,1,0,0
183.061,183.061,1,1,11,0,0,140,0,0,20,-1,-1,129,0.0051,-0.0007,-0.0058,1,0,1,0,0
183.161,183.161,1,1,13,0,0,140,0,0,20,-1,-1,127,0.0074,-0.001,-0.0052,1,0,1,0,0
183.261,183.261,1,1,15,0,0,140,0,0,20,-1,-1,125,0.0085,-0.0011,-0.0044,1,0,1,0,0
183.361,183.361,1,2,17,0,0,140,0,0,20,-1,-2,123,0.0083,-0.0013,-0.0029,1,0,0,0,0
183.461,183.461,1,2,18,0,0,140,0,0,20,-1,-2,122,0.0078,-0.0018,-0.0012,1,0,1,0,0
183.561,183.561,1,2,20,0,0,140,0,0,20,-1,-2,120,0.0073,-0.0019,0,1,0,0,0,0
183.661,183.661,0,2,22,0,0,140,0,0,20,0,-2,118,0.0062,-0.0022,0.0012,1,0,0,0,0
183.761,183.761,0,2,24,0,0,140,0,0,20,0,-2,116,0.0057,-0.0025,0.0023,1,0,0,0,0
183.861,183.861,0,3,26,0,0,140,0,0,20,0,-3,114,0.0059,-0.0032,0.0028,1,0,0,0,0
183.961,183.961,0,3,28,0,0,140,0,0,20,0,-3,112,0.006,-0.003,0.0032,1,0,1,0,0
184.061,184.061,0,3,30,0,0,140,0,0,20,0,-3,110,0.0057,-0.0024,0.0039,1,0,1,0,0
184.161,184.161,0,3,32,0,0,140,0,0,20,0,-3,108,0.0044,-0.0013,0.0048,1,0,0,0,0
184.261,184.261,0,3,34,0,0,140,0,0,20,0,-3,106,0.0043,-0.0011,0.0065,1,0,0,0,0
184.361,184.361,0,4,36,0,0,140,0,-1,20,0,-4,104,0.0062,-0.0017,0.0091,0.9999,0,1,0,0
184.461,184.461,0,4,38,0,0,140,0,-1,20,0,-4,102,0.0071,-0.0024,0.0117,0.9999,0,0,0,0
184.561,184.561,0,4,41,0,0,140,0,-1,20,0,-4,99,0.0049,-0.0036,0.013,0.9999,0,-1,0,0
184.661,184.661,0,4,43,0,0,140,0,-1,20,0,-4,97,0.0024,-0.0053,0.0125,0.9999,0,0,0,0
184.761,184.761,0,4,45,0,0,140,0,-1,20,0,-4,95,0.0003,-0.0049,0.0106,0.9999,0,0,0,0
184.861,184.861,0,4,47,0,0,140,0,-1,20,0,-4,93,-0.0001,-0.0031,0.0074,1,0,1,0,0
184.961,184.961,0,4,49,0,0,140,0,-1,20,0,-4,91,-0.0006,-0.0016,0.0047,1,0,3,0,0
185.061,185.061,0,5,52,0,0,140,0,-1,20,0,-5,88,0.0017,-0.0017,0.0028,1,0,5,0,0
185.161,185.161,0,5,54,0,0,140,0,-1,20,0,-5,86,0.0059,-0.0039,0.0012,1,0,4,0,0
185.261,185.261,1,6,57,0,0,140,0,-1,20,-1,-6,83,0.0084,-0.0059,-0.0002,0.9999,0,4,0,0
185.361,185.361,1,6,59,0,0,140,0,-1,20,-1,-6,81,0.0089,-0.0064,-0.0016,0.9999,0,3,0,0
185.461,185.461,1,7,62,0,0,140,0,-1,20,-1,-7,78,0.0091,-0.0065,-0.003,0.9999,0,2,0,0
185.561,185.561,1,7,64,0,0,140,0,-1,20,-1,-7,76,0.008,-0.005,-0.0041,0.9999,0,1,0,0
185.661,185.661,1,7,67,0,0,140,0,-1,20,-1,-7,73,0.007,-0.0024,-0.0044,1,0,1,0,0
185.761,185.761,1,8,69,0,0,140,0,-1,20,-1,-8,71,0.0055,-0.001,-0.0054,1,0,0,0,0
185.861,185.861,1,8,72,0,0,140,0,-1,20,-1,-8,68,0.0041,-0.0008,-0.0055,1,0,1,0,0
185.961,185.961,1,8,74,0,0,140,0,-1,20,-1,-8,66,0.0047,-0.0017,-0.0055,1,1,2,0,0
186.061,186.061,1,8,76,0,0,140,0,-1,20,-1,-8,64,0.0056,-0.0029,-0.0055,1,0,2,0,0
186.161,186.161,1,8,78,0,0,140,0,-1,20,-1,-8,62,0.0065,-0.0038,-0.0053,1,1,1,0,0
186.261,186.261,2,9,81,0,0,140,0,-1,20,-2,-9,59,0.007,-0.0037,-0.0054,1,2,3,0,0
186.361,186.361,2,9,83,0,0,140,0,-1,20,-2,-9,57,0.0068,-0.0037,-0.0048,1,1,1,0,0
186.461,186.461,2,9,85,0,0,140,0,-1,20,-2,-9,55,0.006,-0.0036,-0.0043,1,1,1,0,0
186.561,186.561,2,9,87,0,0,140,0,-1,20,-2,-9,53,0.0054,-0.0035,-0.0041,1,2,0,0,0
186.661,186.661,2,9,89,0,0,140,0,-1,20,-2,-9,51,0.006,-0.0033,-0.0039,1,0,0,0,0
186.761,186.761,3,9,91,0,0,140,0,-1,20,-3,-9,49,0.006,-0.004,-0.003,1,0,0,0,0
186.861,186.861,3,9,93,0,0,140,0,-1,20,-3,-9,47,0.0064,-0.0046,-0.0025,1,2,1,0,0
186.961,186.961,3,9,96,0,0,140,0,-1,20,-3,-9,44,0.0065,-0.0042,-0.0019,1,1,0,0,0
187.061,187.061,3,10,98,0,0,140,0,-1,19,-3,-10,42,0.0058,-0.0036,-0.0016,1,1,0,0,0
187.161,187.161,4,10,100,0,0,140,-1,-2,18,-4,-10,40,0.0052,-0.0037,-0.001,1,1,0,0,-2
187.261,187.261,4,10,102,0,0,140,-1,-2,17,-4,-10,38,0.0048,-0.0029,-0.0004,1,0,1,0,-2
187.361,187.361,4,10,105,0,0,140,-1,-2,16,-4,-10,35,0.006,-0.0034,-0.0003,1,1,0,0,-2
187.461,187.461,5,10,107,0,0,140,-1,-2,15,-5,-10,33,0.008,-0.0047,-0.0002,1,2,0,0,-2
187.561,187.561,5,10,109,0,0,140,-1,-2,14,-5,-10,31,0.0079,-0.0046,-0.0009,1,2,0,0,-2
187.661,187.661,5,10,111,0,0,140,-1,-2,13,-5,-10,29,0.0072,-0.0049,-0.0012,1,2,0,0,-2
187.761,187.761,6,10,112,0,0,140,-1,-2,12,-6,-10,28,0.0058,-0.0045,-0.002,1,1,0,0,-2
187.861,187.861,6,10,114,0,0,140,-1,-2,11,-6,-10,26,0.0057,-0.0039,-0.003,1,1,-1,0,-2
187.971,187.971,6,9,115,0,0,140,-1,-1,11,-6,-9,25,0.006,-0.0044,-0.0033,1,3,0,0,-1
188.071,188.071,7,9,117,0,0,140,-1,-1,10,-7,-9,23,0.0056,-0.0045,-0.0038,1,3,0,0,-1
188.161,188.161,7,10,118,0,0,140,-1,-1,10,-7,-10,22,0.0058,-0.0042,-0.0042,1,1,0,0,-1
188.271,188.271,7,10,120,0,0,140,-1,-1,9,-7,-10,20,0.0056,-0.0044,-0.0049,1,1,0,0,-1
188.371,188.371,7,10,121,0,0,140,-1,-2,8,-7,-10,19,0.0058,-0.0052,-0.0058,1,2,0,0,-2
188.471,188.471,8,10,122,0,0,140,-1,-2,8,-8,-10,18,0.0058,-0.0047,-0.0074,0.9999,1,0,0,-2
188.571,188.571,8,9,123,0,0,140,-1,-1,7,-8,-9,17,0.0054,-0.004,-0.0095,0.9999,0,-3,0,-1
188.671,188.671,8,9,124,0,0,140,-1,-1,7,-8,-9,16,0.0059,-0.0029,-0.012,0.9999,1,0,0,-1
