T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,-0.0021,-0.0055,-1,0,0,0,0
877.701,877.701,2,-4,4,0,0,140,0,1,20,-2,4,136,0.0015,-0.0021,-0.0055,-1,0,0,0,0
877.771,877.771,-4,2,4,0,0,140,1,0,20,4,-2,136,0.001,-0.0021,-0.0055,-1,0,0,0,0
877.871,877.871,-4,2,4,0,0,140,1,0,20,4,-2,136,0.0012,-0.0021,-0.0055,-1,0,0,0,0
877.971,877.971,-4,2,4,0,0,140,1,0,20,4,-2,136,0.0014,-0.0022,-0.0054,-1,0,0,0,0
878.071,878.071,-4,1,3,0,0,140,1,0,20,4,-1,137,0.0012,-0.0019,-0.0054,-1,0,0,0,0
878.171,878.171,-4,2,3,0,0,140,1,0,20,4,-2,137,0.0013,-0.0018,-0.0056,-1,0,0,0,0
878.271,878.271,-4,2,3,0,0,140,1,0,20,4,-2,137,0.0013,-0.0018,-0.0055,-1,0,0,0,0
878.371,878.371,-4,2,3,0,0,140,1,0,20,4,-2,137,0.001,-0.0018,-0.0056,-1,0,0,0,0
878.471,878.471,-4,2,3,0,0,140,1,0,20,4,-2,137,0.001,-0.002,-0.0057,-1,0,0,0,0
878.571,878.571,-4,2,4,0,0,140,1,0,20,4,-2,136,0.0013,-0.002,-0.0055,-1,0,0,0,0
878.671,878.671,-4,2,4,0,0,140,1,0,20,4,-2,136,0.001,-0.0022,-0.0054,-1,0,0,0,0
878.771,878.771,-4,2,3,0,0,140,1,0,20,4,-2,137,0.0007,-0.0019,-0.0049,-1,1,0,0,0
878.871,878.871,-4,2,3,0,0,140,1,0,20,4,-2,137,-0.001,-0.0014,-0.0029,-1,0,0,0,0
878.971,878.971,-4,2,4,0,0,140,1,0,20,4,-2,136,-0.0035,-0.0014,-0.0005,-1,1,0,0,0
879.071,879.071,-4,2,4,0,0,140,1,0,20,4,-2,136,-0.0044,0.0007,0.0022,-1,1,0,0,0
879.171,879.171,-4,2,5,0,0,140,1,0,20,4,-2,135,-0.0025,0.0022,0.0053,-1,1,0,0,0
879.271,879.271,-4,2,6,0,0,140,1,0,20,4,-2,134,-0.0009,0.0024,0.0079,-1,0,0,0,0
879.371,879.371,-4,2,8,0,0,140,1,0,20,4,-2,132,0.0008,0.0032,0.0084,-1,0,0,0,0
879.471,879.471,-4,2,11,0,0,140,1,0,20,4,-2,129,0.0008,0.0013,0.0083,-1,0,0,0,0
879.571,879.571,-4,2,13,0,0,140,1,0,20,4,-2,127,0,0.0005,0.0071,-1,0,0,0,0
879.671,879.671,-4,2,15,0,0,140,1,0,20,4,-2,125,-0.0013,-0.0003,0.0065,-1,0,0,0,0
879.771,879.771,-4,2,16,0,0,140,1,0,20,4,-2,124,-0.0013,-0.0003,0.0065,-1,0,0,0,0
879.871,879.871,-4,2,18,0,0,140,1,0,20,4,-2,122,-0.0039,-0.0008,0.0036,-1,0,0,0,0
