T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161,-0.0026,-0.0143,0.9998,0,0,2,0
297.871,297.871,-20,0,-2,0,0,140,3,0,20,20,0,142,0.0161,-0.0026,-0.0143,0.9998,0,0,2,0
297.931,297.931,1,0,0,0,0,140,1,0,20,-1,0,140,0.0161,-0.0026,-0.0143,0.9998,0,0,0,0
298.131,298.131,1,0,0,0,0,140,0,0,20,-1,0,140,0.0162,-0.003,-0.0141,0.9998,0,0,0,0
298.231,298.231,1,0,0,0,0,140,0,0,20,-1,0,140,0.0161,-0.003,-0.0141,0.9998,0,0,0,0
298.331,298.331,1,0,0,0,0,140,0,0,20,-1,0,140,0.016,-0.0029,-0.0141,0.9998,0,0,0,0
298.431,298.431,1,0,0,0,0,140,0,0,20,-1,0,140,0.016,-0.0029,-0.0141,0.9998,0,0,0,0
298.531,298.531,1,0,0,0,0,140,0,0,20,-1,0,140,0.016,-0.0029,-0.0141,0.9998,0,0,0,0
298.631,298.631,1,3,0,0,0,140,0,-1,20,-1,-3,140,0.0156,-0.0032,-0.0141,0.9998,0,0,0,0
298.731,298.731,0,1,1,0,0,140,0,-1,20,0,-1,139,0.0159,-0.0026,-0.014,0.9998,1,0,0,0
298.831,298.831,-1,-1,0,0,0,140,0,0,20,1,1,140,0.0161,-0.0029,-0.0142,0.9998,4,1,0,0
298.931,298.931,0,-3,0,0,0,140,0,1,20,0,3,140,0.0167,-0.0029,-0.0142,0.9998,3,1,0,0
299.031,299.031,1,-3,0,0,0,140,0,1,20,-1,3,140,0.0171,-0.0029,-0.0144,0.9997,3,0,0,0
299.131,299.131,1,-1,-1,0,0,140,0,0,20,-1,1,141,0.0169,-0.0032,-0.0144,0.9997,3,0,0,0
299.231,299.231,1,-1,0,0,0,140,0,0,20,-1,1,140,0.0169,-0.0032,-0.0143,0.9997,1,1,0,0
299.341,299.341,1,1,0,0,0,140,0,-1,20,-1,-1,140,0.0166,-0.003,-0.0144,0.9998,0,5,0,0
299.441,299.441,0,2,0,0,0,140,0,-1,20,0,-2,140,0.0167,-0.0028,-0.014,0.9998,-1,3,0,0
299.541,299.541,0,2,1,0,0,140,0,-1,20,0,-2,139,0.0164,-0.0029,-0.0137,0.9998,0,2,0,0
299.631,299.631,0,1,0,0,0,140,0,-1,20,0,-1,140,0.0164,-0.0029,-0.0137,0.9998,0,2,0,0
299.741,299.741,0,1,0,0,0,140,0,-1,20,0,-1,140,0.0167,-0.0028,-0.0136,0.9998,0,0,0,0
299.841,299.841,0,1,0,0,0,140,0,-1,20,0,-1,140,0.0167,-0.0028,-0.0136,0.9998,0,0,0,0
299.941,299.941,0,1,0,0,0,140,0,-1,20,0,-1,140,0.0168,-0.0028,-0.0136,0.9998,0,0,0,0
