length_x,length_y,cmd_raw_x,cmd_raw_y
0,-0,0,0
-2,-2,-0.482746000000004,-0.482746000000004
-3,-5,-0.571631111111082,-0.710586666666578
-3,-4,-0.601951333333335,-0.714225000000002
-3,-4,-0.600238933333334,-0.700118600000001
-3,-4,-0.600047786666667,-0.70006912
-3,-4,-0.600009557333333,-0.700013824
-3,-4,-0.600001911466667,-0.7000027648
-3,-4,-0.600000382293333,-0.70000055296
-3,-4,-0.600000076458667,-0.700000110592
-3,-4,-0.600000015291733,-0.7000000221184
-3,-4,-0.600000003058347,-0.70000000442368
-3,-4,-0.600000000611669,-0.700000000884736
-3,-4,-0.600000000122334,-0.700000000176947
-3,-4,-0.600000000024467,-0.700000000035389
-4,-4,-0.691373000004896,-0.700000000007078
-4,-3,-0.700547000000978,-0.608627000001414
-4,-3,-0.700064000000196,-0.599453000000283
-5,-3,-0.791385800000041,-0.599936000000057
-5,-3,-0.800549560000008,-0.599987200000011
-4,-2,-0.708691511999999,-0.50862444
-4,-2,-0.699465902400001,-0.499452488000001
-4,-2,-0.69993858048,-0.4999358976
-4,-2,-0.699987716096,-0.49998717952
-4,-3,-0.6999975432192,-0.591370435904002
-4,-2,-0.69999950864384,-0.509173487180798
-4,-3,-0.699999901728768,-0.590889897436162
-4,-3,-0.699999980345754,-0.600495779487232
-4,-3,-0.699999996069151,-0.600053755897446
-4,-3,-0.69999999921383,-0.600010751179489
-4,-3,-0.699999999842766,-0.600002150235898
-4,-3,-0.699999999968553,-0.60000043004718
-4,-3,-0.699999999993711,-0.600000086009436
-4,-3,-0.699999999998742,-0.600000017201887
-3,-3,-0.608626999999746,-0.600000003440377
-3,-3,-0.59945299999995,-0.600000000688075
-2,-3,-0.508562999999988,-0.600000000137615
-2,-3,-0.499460836363635,-0.600000000027523
-2,-3,-0.49993344,-0.600000000005505
-2,-3,-0.499986688,-0.600000000001101
-2,-2,-0.4999973376,-0.508627000000218
-2,-1,-0.49999946752,-0.408080000000042
-2,-1,-0.499999893504,-0.399389000000009
-2,-0,-0.4999999787008,-0.30855020000001
-2,-0,-0.49999999574016,-0.29943764
-2,1,-0.499999999148032,0.391440072000002
-2,1,-0.499999999829606,0.4005604144
-2,1,-0.499999999965921,0.40006668288
-3,2,-0.591372999993176,0.491386336575992
-3,3,-0.600546999998637,0.591922667315202
-3,3,-0.600063999999727,0.60061153346304
-3,3,-0.600012799999946,0.600076906692608
-3,3,-0.600002559999989,0.600015381338522
-3,4,-0.600000511999998,0.691376076267696
-3,4,-0.6000001024,0.700547615253541
-3,5,-0.60000002048,0.79143712305071
-3,5,-0.600000004096,0.800559824610142
-3,5,-0.6000000008192,0.800066564922028
-3,5,-0.60000000016384,0.800013312984406
-3,5,-0.600000000032768,0.800002662596881
-4,5,-0.691373000006556,0.800000532519376
-3,6,-0.609174000001309,0.891373106503877
-4,7,-0.690890000000264,0.991920021300777
-4,7,-0.700495800000053,1.00061100426016
-4,7,-0.70005376000001,1.00007680085203
-5,7,-0.791383752000004,1.00001536017041
-5,7,-0.8005491504,1.00000307203408
-5,8,-0.80006443008,1.09137361440682
-6,8,-0.891385886015992,1.10054712288136
-6,9,-0.900549577203201,1.19143702457627
-7,9,-0.991437515440642,1.20055980491525
-7,10,-1.00055990308813,1.29143956098305
-8,10,-1.09143958061763,1.30056031219661
-8,10,-1.10056031612353,1.30006666243932
-9,10,-1.19143966322471,1.30001333248786
-9,10,-1.20056033264494,1.30000266649757
-9,10,-1.20006666652899,1.30000053329951
-9,10,-1.2000133333058,1.3000001066599
-10,10,-1.29137566666115,1.30000002133198
-10,11,-1.30054753333223,1.3913730042664
-11,11,-1.3922401397243,1.40052636448964
-11,11,-1.40051009406056,1.40006400017066
-12,12,-1.49143374608484,1.49138580003413
-12,12,-1.50055914921697,1.50054956000683
-13,12,-1.5914394298434,1.50006451200137
-13,12,-1.60056028596868,1.50001290240027
-13,12,-1.60006665719374,1.50000258048005
63,-14,12.5786292677655,-1.45649748390405
63,-14,12.5979982535531,-1.7103818967808
63,-15,12.5995542507106,-1.79226897935616
63,-15,12.5999108501421,-1.80072619587123
62,-15,12.4092811700284,-1.80009983917425
62,-16,12.3995838340057,-1.89139296783485
62,-16,12.3999621668011,-1.90055099356697
61,-17,12.2092914333602,-1.9914377987134
60,-17,12.008884886672,-2.00055995974268
59,-17,11.8088489773344,-2.00006659194854
58,-18,11.6088417954669,-2.09138631838971
57,-18,11.4088403590934,-2.10054966367794
56,-18,11.2088400718187,-2.10006453273559
55,-19,11.0088400143637,-2.19138590654712
53,-19,10.6181390028727,-2.20054958130942
52,-19,10.4084274005745,-2.20006451626189
51,-19,10.2088028801149,-2.20001290325238
50,-19,10.008832576023,-2.20000258065048
48,-20,9.61813751520459,-2.2913735161301
48,-20,9.59912810304092,-2.30054710322602
47,-20,9.40921542060818,-2.3000640206452
45,-20,9.01816868412165,-2.30001280412904
44,-20,8.80843333682433,-2.30000256082581
43,-20,8.60880406736486,-2.30000051216516
41,-20,8.21813181347297,-2.30000010243303
40,-20,8.00842596269459,-2.30000002048661
38,-20,7.61810159253894,-2.30000000409732
36,-20,7.21771891850778,-2.30000000081946
35,-20,7.00838878370156,-2.30000000016389
33,-21,6.61809415674031,-2.39137300003278
32,-21,6.40841843134806,-2.40054700000656
30,-21,6.01810008626963,-2.40006400000131
28,-20,5.61771861725392,-2.30863980000026
27,-20,5.40838872345078,-2.29945556000005
25,-20,2.81654966325889,-2.29993651200001
23,-20,2.61606453265177,-2.2999873024
22,-19,2.50738590653036,-2.20862446048001
20,-19,2.314964151554,-2.19947312845964
19,-19,2.20753697080667,-2.1999358984192
18,-19,2.10794453961588,-2.19998717968384
16,-19,1.91661590792317,-2.19999743593677
15,-19,1.80745078158464,-2.19999948718735
14,-19,1.70793555631692,-2.19999989743747
13,-19,1.60798711126338,-2.19999997948749
11,-19,1.41662442225267,-2.1999999958975
10,-18,1.30745248445053,-2.1086269991795
8.99999999999999,-18,1.20793589689011,-2.0994529998359
7.99999999999999,-18,1.10798717937802,-2.09993599996718
8,-17,1.0993704358756,-2.00861419999343
7,-17,1.00854648717512,-1.99945043999869
7,-17,0.999436897435024,-1.99993548799974
6,-16,0.908559779487013,-1.90861409759996
6,-16,0.899439555897401,-1.89945041951999
5,-16,0.808560311179478,-1.899935483904
4.00000000000001,-16,0.708066662235896,-1.8999870967808
3,-15,0.608013332447178,-1.80862441935616
3,-15,0.599375666489436,-1.79945248387123
3,-14,0.599920533297887,-1.70856289677424
2,-14,0.508611106659575,-1.69944017935485
1.99999999999999,-13,0.499449821331914,-1.60856043587097
1.99999999999999,-13,0.499935364266382,-1.59943968717419
0.999999999999986,-12,0.408614072853283,-1.50856033743485
0.999999999999986,-12,0.399450414570653,-1.49943966748697
0,-11,0.308562482914129,-1.40856033349739
0,-11,0.299440096582826,-1.39943966669948
0,-9.99999999999999,0.299933419316565,-1.30856033333989
0,-9.99999999999999,0.299986683863313,-1.29943966666798
0,-8.99999999999999,0.299997336772663,-1.20856033333359
1,-8.99999999999999,0.391372467354535,-1.19943966666672
51,-9,9.4343155382133,-1.21433333333334
51,-8,10.2172477076426,-1.11149366666667
51,-8,10.2000445415285,-1.10002633333333
51,-8,10.2000089083057,-1.10005066666667
