T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qw,qx,qy,qz,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,-0.0018,0.004,0.9999,0,0
704.501,704.501,2,-2,6,0,0,140,0,0,20,-2,2,134,0.0131,-0.0018,0.004,0.9999,0,0
704.531,704.531,3,-5,5,0,0,140,0,0,20,-3,5,135,0.013,-0.0017,0.0043,0.9999,0,0
704.631,704.631,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0131,-0.0019,0.0043,0.9999,0,0
704.731,704.731,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0134,-0.0019,0.0042,0.9999,0,0
704.831,704.831,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0135,-0.0017,0.0043,0.9999,0,0
704.931,704.931,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0135,-0.0019,0.004,0.9999,0,0
705.031,705.031,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0136,-0.002,0.004,0.9999,0,0
705.131,705.131,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0134,-0.0022,0.0039,0.9999,0,0
705.231,705.231,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0136,-0.0022,0.004,0.9999,0,0
705.331,705.331,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0137,-0.0019,0.0041,0.9999,0,0
705.431,705.431,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0137,-0.0016,0.0037,0.9999,0,0
705.531,705.531,3,-4,5,0,0,140,0,0,20,-3,4,135,0.0145,-0.0004,0.0011,0.9999,0,0
705.631,705.631,3,-4,6,0,0,140,0,0,20,-3,4,134,0.0173,0.0027,-0.0046,0.9998,0,0
705.731,705.731,3,-4,6,0,0,140,0,0,20,-3,4,134,0.0184,0.0025,-0.0117,0.9998,0,0
705.831,705.831,4,-4,8,0,0,140,0,0,20,-4,4,132,0.0175,-0.0007,-0.0192,0.9997,0,0
705.931,705.931,4,-3,9,0,0,140,0,0,20,-4,3,131,0.0159,-0.0044,-0.0253,0.9995,0,0
706.031,706.031,4,-3,10,0,0,140,0,0,20,-4,3,130,0.0153,-0.0053,-0.029,0.9994,0,0
706.131,706.131,5,-3,12,0,0,140,0,0,20,-5,3,128,0.0154,-0.0045,-0.0323,0.9994,0,0
706.231,706.231,5,-3,14,0,0,140,0,0,20,-5,3,126,0.0162,-0.0032,-0.0347,0.9993,0,0
706.331,706.331,4,-2,16,0,0,140,0,0,20,-4,2,124,0.0171,-0.0017,-0.0357,0.9992,0,0
706.431,706.431,4,-2,19,0,0,140,0,0,20,-4,2,121,0.0185,-0.0005,-0.036,0.9992,0,0
706.531,706.531,4,-2,21,0,0,140,0,0,20,-4,2,119,0.0194,0.0001,-0.0357,0.9992,0,0
706.631,706.631,4,-2,23,0,0,140,0,0,20,-4,2,117,0.0193,0.0005,-0.0346,0.9992,0,0
706.731,706.731,4,-3,25,0,0,140,0,0,20,-4,3,115,0.0182,0.0005,-0.0326,0.9993,0,0
706.831,706.831,4,-2,26,0,0,140,0,0,20,-4,2,114,0.0156,0.0006,-0.0301,0.9994,0,0
706.931,706.931,4,-3,28,0,0,140,0,0,20,-4,3,112,0.0139,0.0011,-0.0285,0.9995,0,0
707.031,707.031,4,-3,30,0,0,140,0,0,20,-4,3,110,0.0129,0.0011,-0.0279,0.9995,0,0
707.131,707.131,4,-3,32,0,0,140,0,0,20,-4,3,108,0.0121,0.001,-0.0275,0.9995,0,0
707.231,707.231,4,-3,35,0,0,140,0,0,20,-4,3,105,0.0121,0.001,-0.0275,0.9995,0,0
707.331,707.331,4,-3,37,0,0,140,0,0,20,-4,3,103,0.0127,-0.0038,-0.0244,0.9996,0,0
707.431,707.431,4,-3,40,0,0,140,0,0,20,-4,3,100,0.0127,-0.0038,-0.0244,0.9996,0,0
707.531,707.531,4,-3,42,0,0,140,0,0,20,-4,3,98,0.0139,-0.0042,-0.0215,0.9997,0,0
707.631,707.631,4,-3,45,0,0,140,0,0,20,-4,3,95,0.0158,-0.0033,-0.0177,0.9997,0,0
707.731,707.731,3,-3,47,0,0,140,0,0,20,-3,3,93,0.0163,-0.002,-0.0151,0.9998,0,0
707.831,707.831,3,-3,49,0,0,140,0,0,20,-3,3,91,0.0159,0.0001,-0.0115,0.9998,0,0
707.931,707.931,2,-3,51,0,0,140,0,0,20,-2,3,89,0.0151,0.0016,-0.0088,0.9998,0,0
708.041,708.041,2,-3,53,0,0,140,0,0,20,-2,3,87,0.0134,0.0028,-0.0044,0.9999,0,0
