T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.391,154.391,1,1,3,0,0,140,0,0,20,-1,-1,137
154.401,154.401,1,1,3,0,0,140,0,0,20,-1,-1,137
154.411,154.411,1,1,3,0,0,140,0,0,20,-1,-1,137
154.421,154.421,1,1,3,0,0,140,0,0,20,-1,-1,137
154.431,154.431,1,1,3,0,0,140,0,0,20,-1,-1,137
154.441,154.441,1,1,3,0,0,140,0,0,20,-1,-1,137
154.451,154.451,1,1,3,0,0,140,0,0,20,-1,-1,137
154.461,154.461,0,0,0,0,0,140,0,0,20,0,0,140
154.471,154.471,0,0,0,0,0,140,0,0,20,0,0,140
154.481,154.481,0,0,0,0,0,140,0,0,20,0,0,140
154.491,154.491,0,0,0,0,0,140,0,0,20,0,0,140
154.501,154.501,0,0,0,0,0,140,0,0,20,0,0,140
154.511,154.511,0,0,0,0,0,140,0,0,20,0,0,140
154.521,154.521,0,0,0,0,0,140,0,0,20,0,0,140
154.531,154.531,0,0,0,0,0,140,0,0,20,0,0,140
154.541,154.541,0,0,0,0,0,140,0,0,20,0,0,140
154.551,154.551,0,0,0,0,0,140,0,0,20,0,0,140
154.561,154.561,0,0,0,0,0,140,0,0,20,0,0,140
154.571,154.571,0,0,0,0,0,140,0,0,20,0,0,140
154.581,154.581,0,0,0,0,0,140,0,0,20,0,0,140
154.591,154.591,0,0,0,0,0,140,0,0,20,0,0,140
154.601,154.601,0,0,0,0,0,140,0,0,20,0,0,140
154.611,154.611,0,0,0,0,0,140,0,0,20,0,0,140
154.621,154.621,0,0,0,0,0,140,0,0,20,0,0,140
154.631,154.631,0,0,0,0,0,140,0,0,20,0,0,140
154.641,154.641,0,0,0,0,0,140,0,0,20,0,0,140
154.651,154.651,0,0,0,0,0,140,0,0,20,0,0,140
154.661,154.661,0,0,0,0,0,140,0,0,20,0,0,140
154.671,154.671,0,0,0,0,0,140,0,0,20,0,0,140
154.681,154.681,0,0,0,0,0,140,0,0,20,0,0,140
154.691,154.691,0,0,0,0,0,140,0,0,20,0,0,140
154.701,154.701,0,0,0,0,0,140,0,0,20,0,0,140
154.711,154.711,0,0,0,0,0,140,0,0,20,0,0,140
154.721,154.721,0,0,0,0,0,140,0,0,20,0,0,140
154.731,154.731,0,0,0,0,0,140,0,0,20,0,0,140
154.741,154.741,0,0,0,0,0,140,0,0,20,0,0,140
154.751,154.751,0,0,0,0,0,140,0,0,20,0,0,140
154.761,154.761,0,-1,0,0,0,140,0,0,20,0,1,140
154.771,154.771,0,-1,0,0,0,140,0,0,20,0,1,140
154.781,154.781,0,-1,0,0,0,140,0,0,20,0,1,140
154.791,154.791,0,-1,0,0,0,140,0,0,20,0,1,140
