T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0
109.081,109.081,0,0,-1,0,0,140,0,0,20,0,0,141
109.181,109.181,0,0,-1,0,0,140,0,0,20,0,0,141
109.281,109.281,0,0,-1,0,0,140,0,0,20,0,0,141
109.381,109.381,0,0,0,0,0,140,0,0,20,0,0,140
109.481,109.481,0,0,0,0,0,140,0,0,20,0,0,140
109.581,109.581,0,0,0,0,0,140,0,0,20,0,0,140
109.681,109.681,0,0,0,0,0,140,0,0,20,0,0,140
109.781,109.781,0,0,0,0,0,140,0,0,20,0,0,140
109.881,109.881,0,0,0,0,0,140,0,0,20,0,0,140
109.981,109.981,0,0,0,0,0,140,0,0,20,0,0,140
110.081,110.081,0,0,0,0,0,140,0,0,20,0,0,140
110.181,110.181,0,0,0,0,0,140,0,0,20,0,0,140
110.281,110.281,1,0,1,0,0,140,0,0,20,-1,0,139
110.381,110.381,1,-1,2,0,0,140,0,0,20,-1,1,138
110.481,110.481,1,-1,4,0,0,140,0,0,20,-1,1,136
110.581,110.581,2,-1,6,0,0,140,-1,0,20,-2,1,134
110.691,110.691,1,-1,8,0,0,140,-1,0,20,-1,1,132
110.781,110.781,1,0,9,0,0,140,0,0,20,-1,0,131
110.881,110.881,1,0,11,0,0,140,0,0,20,-1,0,129
110.991,110.991,1,0,13,0,0,140,0,0,20,-1,0,127
111.081,111.081,0,0,15,0,0,140,0,0,20,0,0,125
111.181,111.181,0,0,17,0,0,140,0,0,20,0,0,123
111.281,111.281,0,0,20,0,0,140,0,0,20,0,0,120
111.381,111.381,-1,0,22,0,0,140,0,0,20,1,0,118
111.481,111.481,-1,1,24,0,0,140,-1,0,20,1,-1,116
111.581,111.581,-1,1,26,0,0,140,-1,0,20,1,-1,114
111.681,111.681,-1,1,27,0,0,140,-1,0,20,1,-1,113
