T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.791,62.791,0,0,0,0,0,0,0,0,0,0,0,0
62.801,62.801,0,1,0,0,0,0,0,0,0,0,-1,0
62.811,62.811,0,1,0,0,0,0,0,0,0,0,-1,0
62.821,62.821,1,0,0,0,0,0,0,0,0,-1,0,0
62.831,62.831,1,0,0,0,0,0,0,0,0,-1,0,0
62.841,62.841,1,0,0,0,0,0,0,0,0,-1,0,0
62.851,62.851,1,0,0,0,0,0,0,0,0,-1,0,0
62.861,62.861,1,0,0,0,0,0,0,0,0,-1,0,0
62.871,62.871,1,0,0,0,0,0,0,0,0,-1,0,0
62.881,62.881,1,0,0,0,0,0,0,0,0,-1,0,0
62.891,62.891,1,0,0,0,0,0,0,0,0,-1,0,0
62.901,62.901,1,0,0,0,0,0,0,0,0,-1,0,0
62.911,62.911,1,0,0,0,0,0,0,0,0,-1,0,0
62.921,62.921,0,0,0,0,0,0,0,0,0,0,0,0
62.931,62.931,0,0,0,0,0,0,0,0,0,0,0,0
62.941,62.941,0,0,0,0,0,0,0,0,0,0,0,0
62.951,62.951,0,0,0,0,0,0,0,0,0,0,0,0
62.961,62.961,0,0,0,0,0,0,0,0,0,0,0,0
62.971,62.971,0,0,0,0,0,0,0,0,0,0,0,0
62.981,62.981,0,0,0,0,0,0,0,0,0,0,0,0
62.991,62.991,0,0,0,0,0,0,0,0,0,0,0,0
63.001,63.001,0,0,0,0,0,0,0,0,0,0,0,0
63.011,63.011,0,0,0,0,0,0,0,0,0,0,0,0
63.021,63.021,0,0,0,0,0,0,0,0,0,0,0,0
63.031,63.031,0,0,0,0,0,0,0,0,0,0,0,0
63.041,63.041,0,0,0,0,0,0,0,0,0,0,0,0
63.051,63.051,0,0,0,0,0,0,0,0,0,0,0,0
63.061,63.061,0,0,0,0,0,0,0,0,0,0,0,0
63.071,63.071,0,0,0,0,0,0,0,0,0,0,0,0
63.081,63.081,0,0,0,0,0,0,0,0,0,0,0,0
63.091,63.091,0,0,0,0,0,0,0,0,0,0,0,0
63.101,63.101,0,0,0,0,0,0,0,0,0,0,0,0
63.111,63.111,0,0,0,0,0,0,0,0,0,0,0,0
63.121,63.121,0,0,0,0,0,0,0,0,0,0,0,0
63.131,63.131,0,0,0,0,0,0,0,0,0,0,0,0
63.141,63.141,0,0,0,0,0,0,0,0,0,0,0,0
63.151,63.151,0,0,0,0,0,0,0,0,0,0,0,0
63.161,63.161,0,0,0,0,0,0,0,0,0,0,0,0
63.171,63.171,0,0,0,0,0,0,0,0,0,0,0,0
63.181,63.181,0,0,0,0,0,0,0,0,0,0,0,0
63.191,63.191,0,0,0,0,0,0,0,0,0,0,0,0
63.201,63.201,0,0,0,0,0,0,0,0,0,0,0,0
63.211,63.211,0,0,0,0,0,0,0,0,0,0,0,0
63.221,63.221,0,0,0,0,0,0,0,0,0,0,0,0
63.231,63.231,0,0,0,0,0,0,0,0,0,0,0,0
63.241,63.241,0,0,0,0,0,0,0,0,0,0,0,0
63.251,63.251,0,0,0,0,0,0,0,0,0,0,0,0
63.261,63.261,0,0,0,0,0,0,0,0,0,0,0,0
63.271,63.271,0,0,0,0,0,0,0,0,0,0,0,0
63.281,63.281,0,0,0,0,0,0,0,0,0,0,0,0
63.291,63.291,0,0,0,0,0,0,0,0,0,0,0,0
63.301,63.301,0,0,0,0,0,0,0,0,0,0,0,0
63.311,63.311,0,0,0,0,0,0,0,0,0,0,0,0
63.321,63.321,1,0,0,0,0,0,0,0,0,-1,0,0
63.331,63.331,1,0,0,0,0,0,0,0,0,-1,0,0
63.341,63.341,1,0,0,0,0,0,0,0,0,-1,0,0
63.351,63.351,1,0,0,0,0,0,0,0,0,-1,0,0
63.361,63.361,1,0,0,0,0,0,0,0,0,-1,0,0
63.371,63.371,1,0,0,0,0,0,0,0,0,-1,0,0
63.381,63.381,1,0,0,0,0,0,0,0,0,-1,0,0
63.391,63.391,1,0,0,0,0,0,0,0,0,-1,0,0
63.401,63.401,1,0,0,0,0,0,0,0,0,-1,0,0
63.411,63.411,1,0,0,0,0,0,0,0,0,-1,0,0
63.421,63.421,1,0,0,0,0,0,0,0,0,-1,0,0
63.431,63.431,1,0,0,0,0,0,0,0,0,-1,0,0
63.441,63.441,1,0,0,0,0,0,0,0,0,-1,0,0
63.451,63.451,1,0,0,0,0,0,0,0,0,-1,0,0
63.461,63.461,1,0,0,0,0,0,0,0,0,-1,0,0
63.471,63.471,1,0,0,0,0,0,0,0,0,-1,0,0
63.481,63.481,1,0,0,0,0,0,0,0,0,-1,0,0
63.491,63.491,1,0,0,0,0,0,0,0,0,-1,0,0
63.501,63.501,1,0,0,0,0,0,0,0,0,-1,0,0
63.511,63.511,1,0,0,0,0,0,0,0,0,-1,0,0
63.521,63.521,1,0,0,0,0,0,0,0,0,-1,0,0
63.531,63.531,1,0,0,0,0,0,0,0,0,-1,0,0
63.541,63.541,1,0,0,0,0,0,0,0,0,-1,0,0
63.551,63.551,1,0,0,0,0,0,0,0,0,-1,0,0
63.561,63.561,1,0,0,0,0,0,0,0,0,-1,0,0
63.571,63.571,1,0,0,0,0,0,0,0,0,-1,0,0
63.581,63.581,1,0,0,0,0,0,0,0,0,-1,0,0
63.591,63.591,1,0,0,0,0,0,0,0,0,-1,0,0
63.601,63.601,1,0,0,0,0,0,0,0,0,-1,0,0
63.611,63.611,1,0,0,0,0,0,0,0,0,-1,0,0
63.621,63.621,0,0,0,0,0,0,0,0,0,0,0,0
63.631,63.631,0,0,0,0,0,0,0,0,0,0,0,0
63.641,63.641,0,0,0,0,0,0,0,0,0,0,0,0
63.651,63.651,0,0,0,0,0,0,0,0,0,0,0,0
63.661,63.661,0,0,0,0,0,0,0,0,0,0,0,0
63.671,63.671,0,0,0,0,0,0,0,0,0,0,0,0
63.681,63.681,0,0,0,0,0,0,0,0,0,0,0,0
63.691,63.691,0,0,0,0,0,0,0,0,0,0,0,0
63.701,63.701,0,0,0,0,0,0,0,0,0,0,0,0
63.711,63.711,0,0,0,0,0,0,0,0,0,0,0,0
63.721,63.721,1,0,1,0,0,0,0,0,0,-1,0,-1
63.731,63.731,1,0,1,0,0,0,0,0,0,-1,0,-1
63.741,63.741,1,0,1,0,0,0,0,0,0,-1,0,-1
63.751,63.751,1,0,1,0,0,0,0,0,0,-1,0,-1
63.761,63.761,1,0,1,0,0,0,0,0,0,-1,0,-1
63.771,63.771,1,0,1,0,0,0,0,0,0,-1,0,-1
63.781,63.781,1,0,1,0,0,0,0,0,0,-1,0,-1
63.791,63.791,1,0,1,0,0,0,0,0,0,-1,0,-1
63.801,63.801,1,0,1,0,0,0,0,0,0,-1,0,-1
63.811,63.811,1,0,1,0,0,0,0,0,0,-1,0,-1
63.821,63.821,0,0,0,0,0,0,0,0,0,0,0,0
63.831,63.831,0,0,0,0,0,0,0,0,0,0,0,0
63.841,63.841,0,0,0,0,0,0,0,0,0,0,0,0
63.851,63.851,0,0,0,0,0,0,0,0,0,0,0,0
63.861,63.861,0,0,0,0,0,0,0,0,0,0,0,0
63.871,63.871,0,0,0,0,0,0,0,0,0,0,0,0
63.881,63.881,0,0,0,0,0,0,0,0,0,0,0,0
63.891,63.891,0,0,0,0,0,0,0,0,0,0,0,0
63.901,63.901,0,0,0,0,0,0,0,0,0,0,0,0
63.911,63.911,0,0,0,0,0,0,0,0,0,0,0,0
63.921,63.921,1,0,0,0,0,0,0,0,0,-1,0,0
63.931,63.931,1,0,0,0,0,0,0,0,0,-1,0,0
63.941,63.941,1,0,0,0,0,0,0,0,0,-1,0,0
63.951,63.951,1,0,0,0,0,0,0,0,0,-1,0,0
63.961,63.961,1,0,0,0,0,0,0,0,0,-1,0,0
63.971,63.971,1,0,0,0,0,0,0,0,0,-1,0,0
63.981,63.981,1,0,0,0,0,0,0,0,0,-1,0,0
63.991,63.991,1,0,0,0,0,0,0,0,0,-1,0,0
64.001,64.001,1,0,0,0,0,0,0,0,0,-1,0,0
64.011,64.011,1,0,0,0,0,0,0,0,0,-1,0,0
64.021,64.021,1,0,0,0,0,0,0,0,0,-1,0,0
64.031,64.031,1,0,0,0,0,0,0,0,0,-1,0,0
64.041,64.041,1,0,0,0,0,0,0,0,0,-1,0,0
64.051,64.051,1,0,0,0,0,0,0,0,0,-1,0,0
64.061,64.061,1,0,0,0,0,0,0,0,0,-1,0,0
64.071,64.071,1,0,0,0,0,0,0,0,0,-1,0,0
64.081,64.081,1,0,0,0,0,0,0,0,0,-1,0,0
64.091,64.091,1,0,0,0,0,0,0,0,0,-1,0,0
64.101,64.101,1,0,0,0,0,0,0,0,0,-1,0,0
64.111,64.111,1,0,0,0,0,0,0,0,0,-1,0,0
64.121,64.121,1,0,0,0,0,0,0,0,0,-1,0,0
64.131,64.131,1,0,0,0,0,0,0,0,0,-1,0,0
64.141,64.141,1,0,0,0,0,0,0,0,0,-1,0,0
64.151,64.151,1,0,0,0,0,0,0,0,0,-1,0,0
64.161,64.161,1,0,0,0,0,0,0,0,0,-1,0,0
64.171,64.171,1,0,0,0,0,0,0,0,0,-1,0,0
64.181,64.181,1,0,0,0,0,0,0,0,0,-1,0,0
64.191,64.191,1,0,0,0,0,0,0,0,0,-1,0,0
64.201,64.201,1,0,0,0,0,0,0,0,0,-1,0,0
64.211,64.211,1,0,0,0,0,0,0,0,0,-1,0,0
64.221,64.221,1,1,0,0,0,0,0,0,0,-1,-1,0
64.231,64.231,1,1,0,0,0,0,0,0,0,-1,-1,0
64.241,64.241,1,1,0,0,0,0,0,0,0,-1,-1,0
64.251,64.251,1,1,0,0,0,0,0,0,0,-1,-1,0
64.261,64.261,1,1,0,0,0,0,0,0,0,-1,-1,0
64.271,64.271,1,1,0,0,0,0,0,0,0,-1,-1,0
64.281,64.281,1,1,0,0,0,0,0,0,0,-1,-1,0
64.291,64.291,1,1,0,0,0,0,0,0,0,-1,-1,0
64.301,64.301,1,1,0,0,0,0,0,0,0,-1,-1,0
64.311,64.311,1,1,0,0,0,0,0,0,0,-1,-1,0
64.321,64.321,1,0,0,0,0,0,0,0,0,-1,0,0
64.331,64.331,1,0,0,0,0,0,0,0,0,-1,0,0
64.341,64.341,1,0,0,0,0,0,0,0,0,-1,0,0
64.351,64.351,1,0,0,0,0,0,0,0,0,-1,0,0
64.361,64.361,1,0,0,0,0,0,0,0,0,-1,0,0
64.371,64.371,1,0,0,0,0,0,0,0,0,-1,0,0
64.381,64.381,1,0,0,0,0,0,0,0,0,-1,0,0
64.391,64.391,1,0,0,0,0,0,0,0,0,-1,0,0
64.401,64.401,1,0,0,0,0,0,0,0,0,-1,0,0
64.411,64.411,1,0,0,0,0,0,0,0,0,-1,0,0
64.421,64.421,1,0,1,0,0,0,0,0,0,-1,0,-1
64.431,64.431,1,0,1,0,0,0,0,0,0,-1,0,-1
64.441,64.441,1,0,1,0,0,0,0,0,0,-1,0,-1
64.451,64.451,1,0,1,0,0,0,0,0,0,-1,0,-1
64.461,64.461,1,0,1,0,0,0,0,0,0,-1,0,-1
64.471,64.471,1,0,1,0,0,0,0,0,0,-1,0,-1
64.481,64.481,1,0,1,0,0,0,0,0,0,-1,0,-1
64.491,64.491,1,0,1,0,0,0,0,0,0,-1,0,-1
64.501,64.501,1,0,1,0,0,0,0,0,0,-1,0,-1
64.511,64.511,1,0,1,0,0,0,0,0,0,-1,0,-1
64.521,64.521,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.531,64.531,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.541,64.541,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.551,64.551,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.561,64.561,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.571,64.571,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.581,64.581,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.591,64.591,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.601,64.601,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.611,64.611,1,1,1,0,0,0,0,0,0,-1,-1,-1
64.621,64.621,1,0,1,0,0,0,0,0,0,-1,0,-1
64.631,64.631,1,0,1,0,0,0,0,0,0,-1,0,-1
64.641,64.641,1,0,1,0,0,0,0,0,0,-1,0,-1
64.651,64.651,1,0,1,0,0,0,0,0,0,-1,0,-1
64.661,64.661,1,0,1,0,0,0,0,0,0,-1,0,-1
64.671,64.671,1,0,1,0,0,0,0,0,0,-1,0,-1
64.681,64.681,1,0,1,0,0,0,0,0,0,-1,0,-1
64.691,64.691,1,0,1,0,0,0,0,0,0,-1,0,-1
64.701,64.701,1,0,1,0,0,0,0,0,0,-1,0,-1
64.711,64.711,1,0,1,0,0,0,0,0,0,-1,0,-1
64.721,64.721,1,1,0,0,0,0,0,0,0,-1,-1,0
64.731,64.731,1,1,0,0,0,0,0,0,0,-1,-1,0
64.741,64.741,1,1,0,0,0,0,0,0,0,-1,-1,0
64.751,64.751,1,1,0,0,0,0,0,0,0,-1,-1,0
64.761,64.761,1,1,0,0,0,0,0,0,0,-1,-1,0
64.771,64.771,1,1,0,0,0,0,0,0,0,-1,-1,0
64.781,64.781,1,1,0,0,0,0,0,0,0,-1,-1,0
64.791,64.791,1,1,0,0,0,0,0,0,0,-1,-1,0
64.801,64.801,1,1,0,0,0,0,0,0,0,-1,-1,0
64.811,64.811,1,1,0,0,0,0,0,0,0,-1,-1,0
64.821,64.821,1,0,0,0,0,0,0,0,0,-1,0,0
64.831,64.831,1,0,0,0,0,0,0,0,0,-1,0,0
64.841,64.841,1,0,0,0,0,0,0,0,0,-1,0,0
64.851,64.851,1,0,0,0,0,0,0,0,0,-1,0,0
64.861,64.861,1,0,0,0,0,0,0,0,0,-1,0,0
64.871,64.871,1,0,0,0,0,0,0,0,0,-1,0,0
64.881,64.881,1,0,0,0,0,0,0,0,0,-1,0,0
64.891,64.891,1,0,0,0,0,0,0,0,0,-1,0,0
64.901,64.901,1,0,0,0,0,0,0,0,0,-1,0,0
64.911,64.911,1,0,0,0,0,0,0,0,0,-1,0,0
64.921,64.921,1,0,0,0,0,0,0,0,0,-1,0,0
64.931,64.931,1,0,0,0,0,0,0,0,0,-1,0,0
64.941,64.941,1,0,0,0,0,0,0,0,0,-1,0,0
64.951,64.951,1,0,0,0,0,0,0,0,0,-1,0,0
64.961,64.961,1,0,0,0,0,0,0,0,0,-1,0,0
64.971,64.971,1,0,0,0,0,0,0,0,0,-1,0,0
64.981,64.981,1,0,0,0,0,0,0,0,0,-1,0,0
64.991,64.991,1,0,0,0,0,0,0,0,0,-1,0,0
65.001,65.001,1,0,0,0,0,0,0,0,0,-1,0,0
65.011,65.011,1,0,0,0,0,0,0,0,0,-1,0,0
65.021,65.021,1,0,0,0,0,0,0,0,0,-1,0,0
65.031,65.031,1,0,0,0,0,0,0,0,0,-1,0,0
65.041,65.041,1,0,0,0,0,0,0,0,0,-1,0,0
65.051,65.051,1,0,0,0,0,0,0,0,0,-1,0,0
65.061,65.061,1,0,0,0,0,0,0,0,0,-1,0,0
65.071,65.071,1,0,0,0,0,0,0,0,0,-1,0,0
65.081,65.081,1,0,0,0,0,0,0,0,0,-1,0,0
65.091,65.091,1,0,0,0,0,0,0,0,0,-1,0,0
65.101,65.101,1,0,0,0,0,0,0,0,0,-1,0,0
65.111,65.111,1,0,0,0,0,0,0,0,0,-1,0,0
