T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
-62.791,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0190000000000055,62.801,0,1,0,0,0,0,0,0,0,0,-1,0
0.0390000000000015,62.821,1,0,0,0,0,0,0,0,0,-1,0,0
0.139000000000003,62.921,0,0,0,0,0,0,0,0,0,0,0,0
0.539000000000001,63.321,1,0,0,0,0,0,0,0,0,-1,0,0
0.839000000000006,63.621,0,0,0,0,0,0,0,0,0,0,0,0
0.939000000000007,63.721,1,0,1,0,0,0,0,0,0,-1,0,-1
1.039,63.821,0,0,0,0,0,0,0,0,0,0,0,0
1.139,63.921,1,0,0,0,0,0,0,0,0,-1,0,0
1.43900000000001,64.221,1,1,0,0,0,0,0,0,0,-1,-1,0
1.539,64.321,1,0,0,0,0,0,0,0,0,-1,0,0
1.63900000000001,64.421,1,0,1,0,0,0,0,0,0,-1,0,-1
1.739,64.521,1,1,1,0,0,0,0,0,0,-1,-1,-1
1.839,64.621,1,0,1,0,0,0,0,0,0,-1,0,-1
1.93900000000001,64.721,1,1,0,0,0,0,0,0,0,-1,-1,0
2.039,64.821,1,0,0,0,0,0,0,0,0,-1,0,0
3.039,65.821,1,1,0,0,0,0,0,0,0,-1,-1,0
3.339,66.121,0,1,0,0,0,0,0,0,0,0,-1,0
3.559,66.341,1,1,0,0,0,0,0,0,0,-1,-1,0
3.85900000000001,66.641,0,1,0,0,0,0,0,0,0,0,-1,0
4.259,67.041,1,1,0,0,0,0,0,0,0,-1,-1,0
4.35900000000001,67.141,0,1,0,0,0,0,0,0,0,0,-1,0
4.459,67.241,1,1,0,0,0,0,0,0,0,-1,-1,0
4.559,67.341,1,1,1,0,0,0,0,0,0,-1,-1,-1
4.65900000000001,67.441,1,1,0,0,0,0,0,0,0,-1,-1,0
6.65900000000001,69.441,1,1,1,0,0,0,0,0,0,-1,-1,-1
6.759,69.541,1,1,0,0,0,0,0,0,0,-1,-1,0
7.05900000000001,69.841,1,1,1,0,0,0,0,0,0,-1,-1,-1
7.459,70.241,1,1,0,0,0,0,0,0,0,-1,-1,0
7.85900000000001,70.641,1,1,1,0,0,0,0,0,0,-1,-1,-1
8.259,71.041,1,1,0,0,0,0,0,0,0,-1,-1,0
8.959,71.741,1,1,1,0,0,0,0,0,0,-1,-1,-1
9.55900000000001,72.341,1,1,0,0,0,0,0,0,0,-1,-1,0
9.65900000000001,72.441,1,1,1,0,0,0,0,0,0,-1,-1,-1
9.759,72.541,1,1,0,0,0,0,0,0,0,-1,-1,0
9.85900000000001,72.641,1,1,1,0,0,0,0,0,0,-1,-1,-1
10.159,72.941,1,1,0,0,0,0,0,0,0,-1,-1,0
10.859,73.641,1,1,1,0,0,0,0,0,0,-1,-1,-1
11.459,74.241,1,1,0,0,0,0,0,0,0,-1,-1,0
11.559,74.341,1,1,1,0,0,0,0,0,0,-1,-1,-1
13.779,76.561,1,1,0,0,0,0,0,0,0,-1,-1,0
13.879,76.661,1,1,1,0,0,0,0,0,0,-1,-1,-1
14.979,77.761,1,1,0,0,0,0,0,0,0,-1,-1,0
15.079,77.861,1,1,1,0,0,0,0,0,0,-1,-1,-1
15.779,78.561,0,1,0,0,0,0,0,0,0,0,-1,0
15.879,78.661,1,1,0,0,0,0,0,0,0,-1,-1,0
15.979,78.761,1,1,1,0,0,0,0,0,0,-1,-1,-1
23.499,86.281,1,1,0,0,0,0,0,0,0,-1,-1,0
23.599,86.381,1,1,1,0,0,0,0,0,0,-1,-1,-1
24.399,87.181,1,1,2,0,0,0,0,0,0,-1,-1,-2
24.499,87.281,0,0,-1,0,0,140,0,0,20,0,0,141
