T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
222.029,284.821,157,71,137,200,75,140,15,1,0,43,4,3
222.229,285.021,156,71,137,200,75,140,16,1,0,44,4,3
222.329,285.121,155,72,137,200,75,140,16,1,0,45,3,3
222.429,285.221,154,72,137,200,75,140,16,1,0,46,3,3
222.629,285.421,153,72,138,200,75,140,17,1,0,47,3,2
222.729,285.521,152,72,138,200,75,140,17,1,0,48,3,2
222.829,285.621,152,72,137,200,75,140,17,1,0,48,3,3
222.929,285.721,151,73,137,200,75,140,17,1,0,49,2,3
223.229,286.021,150,73,137,200,75,140,17,1,0,50,2,3
223.329,286.121,150,74,137,200,75,140,17,1,0,50,1,3
223.629,286.421,149,74,137,200,75,140,17,0,0,51,1,3
223.729,286.521,149,75,137,200,75,140,17,0,0,51,0,3
223.929,286.721,149,76,137,200,75,140,17,0,0,51,-1,3
224.129,286.921,148,76,137,200,75,140,18,1,0,52,-1,3
224.329,287.121,148,77,137,200,75,140,18,-1,0,52,-2,3
224.649,287.441,148,78,137,200,75,140,0,0,0,52,-3,3
224.749,287.541,149,79,137,200,75,140,0,0,0,51,-4,3
224.949,287.741,150,80,137,200,75,140,0,0,0,50,-5,3
225.049,287.841,150,81,138,200,75,140,0,0,0,50,-6,2
225.149,287.941,151,81,138,200,75,140,0,0,0,49,-6,2
225.249,288.041,152,81,138,200,75,140,0,0,0,48,-6,2
225.349,288.141,152,82,138,200,75,140,0,0,0,48,-7,2
225.449,288.241,153,83,138,200,75,140,0,0,0,47,-8,2
225.549,288.341,154,83,138,200,75,140,0,0,0,46,-8,2
225.649,288.441,155,83,138,200,75,140,0,0,0,45,-8,2
225.749,288.541,156,84,138,200,75,140,0,0,0,44,-9,2
225.849,288.641,157,84,138,200,75,140,0,0,0,43,-9,2
225.949,288.741,158,85,138,200,75,140,0,0,0,42,-10,2
226.049,288.841,159,86,138,200,75,140,0,0,0,41,-11,2
226.149,288.941,159,87,138,200,75,140,0,0,0,41,-12,2
226.249,289.041,161,88,139,200,75,140,0,0,0,39,-13,1
226.349,289.141,162,88,139,200,75,140,0,0,0,38,-13,1
226.449,289.241,163,89,139,200,75,140,0,0,0,37,-14,1
226.549,289.341,164,90,139,200,75,140,0,0,0,36,-15,1
226.649,289.441,165,91,140,200,75,140,0,0,0,35,-16,0
226.749,289.541,166,92,140,200,75,140,0,0,0,34,-17,0
226.849,289.641,168,94,140,200,75,140,0,0,0,32,-19,0
226.949,289.741,169,95,140,200,75,140,0,0,0,31,-20,0
227.049,289.841,170,96,140,200,75,140,0,0,0,30,-21,0
227.149,289.941,171,97,140,200,75,140,0,0,0,29,-22,0
227.249,290.041,173,98,140,200,75,140,0,0,0,27,-23,0
227.349,290.141,174,99,141,200,75,140,0,0,0,26,-24,-1
227.449,290.241,175,101,141,200,75,140,0,0,0,25,-26,-1
227.549,290.341,176,102,141,200,75,140,0,0,0,24,-27,-1
227.649,290.441,178,103,141,200,75,140,0,0,0,22,-28,-1
227.749,290.541,179,104,141,200,75,140,0,0,0,21,-29,-1
227.849,290.641,180,106,141,200,75,140,0,0,0,20,-31,-1
227.949,290.741,181,106,141,200,75,140,0,0,0,19,-31,-1
228.049,290.841,183,107,141,200,75,140,0,0,0,17,-32,-1
228.149,290.941,184,107,141,200,75,140,0,0,0,16,-32,-1
228.249,291.041,185,108,141,200,75,140,0,0,0,15,-33,-1
228.349,291.141,187,108,141,200,75,140,0,0,0,13,-33,-1
228.449,291.241,188,109,141,200,75,140,0,0,0,12,-34,-1
228.549,291.341,189,109,141,200,75,140,0,0,0,11,-34,-1
228.749,291.541,190,109,141,200,75,140,2,-11,0,10,-34,-1
228.849,291.641,191,109,141,200,75,140,2,-11,0,9,-34,-1
229.049,291.841,192,109,141,200,75,140,2,-11,0,8,-34,-1
229.249,292.041,192,110,141,200,75,140,2,-12,0,8,-35,-1
229.349,292.141,193,110,141,200,75,140,2,-12,0,7,-35,-1
229.749,292.541,193,110,142,200,75,140,2,-12,0,7,-35,-2
229.849,292.641,192,111,141,200,75,140,2,-12,0,8,-36,-1
229.949,292.741,192,111,142,200,75,140,2,-12,0,8,-36,-2
230.649,293.441,191,111,142,200,75,140,2,-12,0,9,-36,-2
230.949,293.741,190,110,142,200,75,140,2,-12,0,10,-35,-2
231.249,294.041,189,109,142,200,75,140,3,-11,0,11,-34,-2
231.449,294.241,188,108,142,200,75,140,3,-11,0,12,-33,-2
231.549,294.341,187,108,143,200,75,140,3,-11,0,13,-33,-3
231.649,294.441,187,107,142,200,75,140,3,-11,0,13,-32,-2
231.749,294.541,186,107,143,200,75,140,3,-11,0,14,-32,-3
231.849,294.641,185,106,143,200,75,140,3,-10,0,15,-31,-3
232.049,294.841,184,105,143,200,75,140,4,-10,0,16,-30,-3
232.149,294.941,184,104,143,200,75,140,4,-10,0,16,-29,-3
232.249,295.041,183,103,142,200,75,140,4,-9,0,17,-28,-2
232.349,295.141,183,102,142,200,75,140,4,-9,0,17,-27,-2
232.449,295.241,182,101,142,200,75,140,4,-5,0,18,-26,-2
232.549,295.341,182,100,142,200,75,140,4,-5,0,18,-25,-2
232.649,295.441,181,99,142,200,75,140,4,-5,0,19,-24,-2
232.749,295.541,181,98,142,200,75,140,4,-4,0,19,-23,-2
232.849,295.641,180,97,142,200,75,140,4,-4,0,20,-22,-2
232.949,295.741,180,96,142,200,75,140,4,-4,0,20,-21,-2
233.069,295.861,179,95,142,200,75,140,0,0,0,21,-20,-2
233.169,295.961,179,94,142,200,75,140,0,0,0,21,-19,-2
233.369,296.161,178,93,142,200,75,140,0,0,0,22,-18,-2
233.469,296.261,177,93,142,200,75,140,0,0,0,23,-18,-2
233.569,296.361,177,92,142,200,75,140,0,0,0,23,-17,-2
233.669,296.461,177,91,141,200,75,140,0,0,0,23,-16,-1
233.769,296.561,176,90,141,200,75,140,0,0,0,24,-15,-1
233.869,296.661,176,89,141,200,75,140,0,0,0,24,-14,-1
233.969,296.761,175,88,141,200,75,140,0,0,0,25,-13,-1
234.169,296.961,174,87,141,200,75,140,0,0,0,26,-12,-1
234.269,297.061,174,86,141,200,75,140,0,0,0,26,-11,-1
234.469,297.261,173,85,141,200,75,140,0,0,0,27,-10,-1
234.569,297.361,173,84,140,200,75,140,0,0,0,27,-9,0
234.769,297.561,173,83,140,200,75,140,0,0,0,27,-8,0
235.069,297.861,173,82,140,200,75,140,0,0,0,27,-7,0
235.269,298.061,174,81,139,200,75,140,0,0,0,26,-6,1
235.469,298.261,174,80,140,200,75,140,0,0,0,26,-5,0
235.669,298.461,174,79,140,200,75,140,0,0,0,26,-4,0
235.869,298.661,174,78,140,200,75,140,0,0,0,26,-3,0
236.069,298.861,174,77,140,200,75,140,0,0,0,26,-2,0
236.269,299.061,174,76,140,200,75,140,0,0,0,26,-1,0
236.369,299.161,174,75,140,200,75,140,0,0,0,26,0,0
236.469,299.261,174,74,140,200,75,140,0,0,0,26,1,0
236.569,299.361,175,73,140,200,75,140,0,0,0,25,2,0
236.769,299.561,175,72,140,200,75,140,0,0,0,25,3,0
236.869,299.661,176,71,140,200,75,140,0,0,0,24,4,0
237.069,299.861,176,70,140,200,75,140,0,0,0,24,5,0
237.169,299.961,177,70,140,200,75,140,0,0,0,23,5,0
237.569,300.361,178,69,140,200,75,140,5,1,0,22,6,0
237.769,300.561,179,69,140,200,75,140,4,1,0,21,6,0
237.869,300.661,179,68,140,200,75,140,4,2,0,21,7,0
237.969,300.761,180,68,140,200,75,140,4,2,0,20,7,0
238.169,300.961,181,68,140,200,75,140,4,2,0,19,7,0
238.269,301.061,181,68,141,200,75,140,4,2,0,19,7,-1
238.369,301.161,182,67,141,200,75,140,4,2,0,18,8,-1
238.469,301.261,183,67,141,200,75,140,4,2,0,17,8,-1
238.569,301.361,183,66,141,200,75,140,4,2,0,17,9,-1
238.669,301.461,184,66,141,200,75,140,3,2,0,16,9,-1
238.769,301.561,185,65,141,200,75,140,3,2,0,15,10,-1
238.869,301.661,186,65,141,200,75,140,3,2,0,14,10,-1
238.969,301.761,187,64,141,200,75,140,3,2,0,13,11,-1
239.069,301.861,188,64,141,200,75,140,3,2,0,12,11,-1
239.169,301.961,189,64,141,200,75,140,3,2,0,11,11,-1
239.269,302.061,190,64,141,200,75,140,2,2,0,10,11,-1
239.369,302.161,190,63,141,200,75,140,2,2,0,10,12,-1
239.469,302.261,191,63,141,200,75,140,2,2,0,9,12,-1
239.569,302.361,192,63,141,200,75,140,2,2,0,8,12,-1
239.669,302.461,193,63,141,200,75,140,2,2,0,7,12,-1
239.769,302.561,194,63,141,200,75,140,2,2,0,6,12,-1
239.869,302.661,195,63,141,200,75,140,2,2,0,5,12,-1
