T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z
126.629,189.421,-2,-16,100,150,-25,100,0,0,0,152,-9,0
126.729,189.521,-2,-17,101,150,-25,100,0,0,0,152,-8,-1
126.929,189.721,-1,-17,101,150,-25,100,0,0,0,151,-8,-1
127.029,189.821,0,-17,101,150,-25,100,0,0,0,150,-8,-1
127.129,189.921,1,-17,101,150,-25,100,0,0,0,149,-8,-1
127.229,190.021,2,-18,101,150,-25,100,0,0,0,148,-7,-1
127.329,190.121,3,-18,100,150,-25,100,0,0,0,147,-7,0
127.429,190.221,4,-19,100,150,-25,100,0,0,0,146,-6,0
127.529,190.321,5,-19,100,150,-25,100,23,-1,0,145,-6,0
127.629,190.421,5,-20,101,150,-25,100,23,-1,0,145,-5,-1
127.729,190.521,6,-20,101,150,-25,100,23,-1,0,144,-5,-1
127.829,190.621,6,-20,102,150,-25,100,23,-1,0,144,-5,-2
127.929,190.721,7,-21,102,150,-25,100,23,-1,0,143,-4,-2
128.129,190.921,9,-21,102,150,-25,100,23,-1,0,141,-4,-2
128.229,191.021,10,-21,101,150,-25,100,23,-1,0,140,-4,-1
128.329,191.121,11,-21,101,150,-25,100,23,-1,0,139,-4,-1
128.429,191.221,12,-22,101,150,-25,100,23,-1,0,138,-3,-1
128.529,191.321,13,-22,101,150,-25,100,23,-1,0,137,-3,-1
128.629,191.421,14,-24,101,150,-25,100,23,-1,0,136,-1,-1
128.729,191.521,16,-24,100,150,-25,100,23,0,0,134,-1,0
128.829,191.621,17,-25,100,150,-25,100,23,0,0,133,0,0
128.929,191.721,19,-26,100,150,-25,100,23,0,0,131,1,0
129.129,191.921,20,-25,100,150,-25,100,23,0,0,130,0,0
129.229,192.021,21,-25,100,150,-25,100,23,0,0,129,0,0
129.429,192.221,22,-25,100,150,-25,100,23,-1,0,128,0,0
129.529,192.321,23,-25,100,150,-25,100,23,-1,0,127,0,0
129.629,192.421,24,-25,99,150,-25,100,23,-1,0,126,0,1
129.729,192.521,26,-24,99,150,-25,100,23,-1,0,124,-1,1
129.829,192.621,27,-24,98,150,-25,100,23,-1,0,123,-1,2
129.929,192.721,28,-25,99,150,-25,100,23,-1,0,122,0,1
130.129,192.921,29,-25,99,150,-25,100,23,-1,0,121,0,1
130.229,193.021,30,-25,100,150,-25,100,23,-1,0,120,0,0
130.329,193.121,30,-26,100,150,-25,100,23,-1,0,120,1,0
130.429,193.221,31,-26,100,150,-25,100,23,-1,0,119,1,0
130.529,193.321,32,-26,100,150,-25,100,23,-1,0,118,1,0
130.729,193.521,33,-27,100,150,-25,100,23,1,0,117,2,0
130.829,193.621,34,-27,100,150,-25,100,23,1,0,116,2,0
131.029,193.821,36,-28,100,150,-25,100,23,1,0,114,3,0
131.129,193.921,37,-28,100,150,-25,100,23,1,0,113,3,0
131.229,194.021,38,-29,101,150,-25,100,23,1,0,112,4,-1
131.329,194.121,40,-30,101,150,-25,100,23,1,0,110,5,-1
131.429,194.221,41,-30,101,150,-25,100,23,1,0,109,5,-1
131.529,194.321,43,-30,101,150,-25,100,23,1,0,107,5,-1
131.629,194.421,44,-31,101,150,-25,100,23,1,0,106,6,-1
131.729,194.521,46,-31,101,150,-25,100,23,1,0,104,6,-1
131.829,194.621,47,-32,102,150,-25,100,23,2,0,103,7,-2
131.929,194.721,49,-32,102,150,-25,100,23,2,0,101,7,-2
132.029,194.821,51,-33,102,150,-25,100,23,2,0,99,8,-2
132.129,194.921,53,-33,101,150,-25,100,23,2,0,97,8,-1
132.249,195.041,55,-34,101,150,-25,100,0,0,0,95,9,-1
132.349,195.141,57,-34,101,150,-25,100,0,0,0,93,9,-1
132.449,195.241,59,-35,101,150,-25,100,0,0,0,91,10,-1
132.549,195.341,61,-35,101,150,-25,100,0,0,0,89,10,-1
132.649,195.441,63,-35,100,150,-25,100,0,0,0,87,10,0
132.749,195.541,65,-36,101,150,-25,100,0,0,0,85,11,-1
132.849,195.641,67,-36,101,150,-25,100,0,0,0,83,11,-1
