T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.0001,-0.0002,1,0,0,0,0
118.511,118.511,0,0,1,0,0,140,0,0,20,0,0,139,0.0002,-0.0001,-0.0002,1,0,0,0,0
118.591,118.591,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0004,-0.0001,1,0,0,0,0
118.691,118.691,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0002,-0.0001,1,0,0,0,0
118.791,118.791,0,0,0,0,0,140,0,0,20,0,0,140,0,-0.0004,-0.0001,1,0,0,0,0
118.891,118.891,0,0,0,0,0,140,0,0,20,0,0,140,0,-0.0004,-0.0001,1,0,0,0,0
118.991,118.991,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0004,-0.0001,1,0,0,0,0
119.091,119.091,0,0,0,0,0,140,0,0,20,0,0,140,0.0001,-0.0004,-0.0001,1,0,0,0,0
119.191,119.191,0,0,0,0,0,140,0,0,20,0,0,140,0.0002,-0.0003,0.0001,1,0,0,0,0
119.291,119.291,0,0,0,0,0,140,0,0,20,0,0,140,0.0004,-0.0005,-0.0008,1,0,0,0,0
119.391,119.391,0,0,0,0,0,140,0,0,20,0,0,140,0.0004,-0.0005,-0.0008,1,0,0,0,0
119.491,119.491,0,0,0,0,0,140,0,0,20,0,0,140,0.0032,-0.0019,-0.0003,1,0,0,0,0
119.591,119.591,0,0,1,0,0,140,0,0,20,0,0,139,0.0064,-0.0051,0.0005,1,0,0,0,0
119.691,119.691,0,0,3,0,0,140,0,0,20,0,0,137,0.0045,-0.0049,0.004,1,0,0,0,0
119.791,119.791,0,0,3,0,0,140,0,0,20,0,0,137,0.0045,-0.0049,0.004,1,0,0,0,0
119.891,119.891,0,0,6,0,0,140,0,0,20,0,0,134,0.0022,-0.0016,0.0065,1,0,0,0,0
119.991,119.991,0,0,6,0,0,140,0,0,20,0,0,134,0.0022,-0.0016,0.0065,1,0,0,0,0
120.091,120.091,0,1,7,0,0,140,0,0,20,0,-1,133,0.0037,-0.0027,0.0071,1,0,0,0,0
120.191,120.191,0,1,11,0,0,140,0,0,20,0,-1,129,0.0037,-0.0056,0.0062,1,0,1,0,0
120.291,120.291,0,1,11,0,0,140,0,0,20,0,-1,129,0.0037,-0.0056,0.0062,1,0,1,0,0
