T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0004,-0.0475,0.9989,0,0,0,0
955.261,955.261,0,1,4,0,0,80,0,0,20,0,-1,76,0.0014,0.0004,-0.0475,0.9989,0,0,0,0
955.331,955.331,-3,0,2,0,0,80,0,0,20,3,0,78,0.0013,0.0002,-0.0474,0.9989,0,0,0,0
955.431,955.431,-2,0,2,0,0,80,0,0,20,2,0,78,0.0014,0,-0.0475,0.9989,0,0,0,0
955.531,955.531,-2,0,2,0,0,80,0,0,20,2,0,78,0.0015,0.0001,-0.0476,0.9989,0,0,0,0
955.631,955.631,-2,0,2,0,0,80,0,0,20,2,0,78,0.0014,0.0002,-0.0478,0.9989,0,0,0,0
955.731,955.731,-2,0,2,0,0,80,0,0,20,2,0,78,0.0013,-0.0001,-0.0475,0.9989,0,0,0,0
955.831,955.831,-2,0,2,0,0,80,0,0,20,2,0,78,0.0013,-0.0001,-0.0475,0.9989,0,0,0,0
955.931,955.931,-3,0,2,0,0,80,0,0,20,3,0,78,0.0015,0.0002,-0.0472,0.9989,0,0,0,0
956.031,956.031,-2,0,2,0,0,80,0,0,20,2,0,78,0.0013,0,-0.0472,0.9989,0,0,0,0
956.131,956.131,-2,0,2,0,0,80,0,0,20,2,0,78,0.0016,0.0001,-0.0474,0.9989,0,0,0,0
956.231,956.231,-2,0,2,0,0,80,0,0,20,2,0,78,0.0015,0.0004,-0.0475,0.9989,0,0,0,0
956.331,956.331,-2,0,2,0,0,80,0,0,20,2,0,78,0.0015,0.0005,-0.0477,0.9989,2,0,0,0
956.431,956.431,-2,0,2,0,0,80,0,0,20,2,0,78,0.002,0.0014,-0.0454,0.999,3,0,0,0
956.531,956.531,-2,0,2,0,0,80,0,0,20,2,0,78,0.0006,-0.0013,-0.0425,0.9991,5,0,0,0
956.631,956.631,-2,0,3,0,0,80,0,0,20,2,0,77,-0.001,-0.0047,-0.0393,0.9992,3,0,0,0
956.731,956.731,-1,0,4,0,0,80,0,0,20,1,0,76,-0.001,-0.0067,-0.0333,0.9994,2,0,0,0
956.831,956.831,-1,0,6,0,0,80,0,0,20,1,0,74,-0.0007,-0.0078,-0.0288,0.9996,0,0,0,0
956.931,956.931,-1,0,7,0,0,80,0,0,20,1,0,73,-0.0005,-0.0078,-0.0246,0.9997,0,0,0,0
957.031,957.031,-1,0,9,0,0,80,0,0,20,1,0,71,-0.0001,-0.005,-0.0207,0.9998,0,1,0,0
957.131,957.131,-1,1,11,0,0,80,0,0,20,1,-1,69,0.0024,-0.0032,-0.0161,0.9999,0,1,0,0
957.231,957.231,-1,0,13,0,0,80,0,0,20,1,0,67,0.003,-0.0044,-0.0142,0.9999,0,0,0,0
957.341,957.341,-1,1,15,0,0,80,0,0,20,1,-1,65,0.0026,-0.004,-0.0124,0.9999,0,1,0,0
957.441,957.441,-1,2,17,0,0,80,0,0,20,1,-2,63,0.0028,-0.0035,-0.0094,0.9999,0,2,0,0
957.541,957.541,-1,2,19,0,0,80,0,0,20,1,-2,61,0.0026,-0.0031,-0.0085,1,0,3,0,0
957.641,957.641,-1,3,21,0,0,80,0,0,20,1,-3,59,0.0029,-0.0031,-0.0073,1,0,4,0,0
957.741,957.741,-1,3,23,0,0,80,0,0,20,1,-3,57,0.0046,-0.0033,-0.0065,1,0,5,0,0
957.841,957.841,-2,4,25,0,0,80,0,0,20,2,-4,55,0.0061,-0.0028,-0.0057,1,0,6,0,0
957.941,957.941,-2,5,27,0,0,80,0,0,20,2,-5,53,0.0064,-0.0027,-0.0049,1,0,6,0,0
958.041,958.041,-2,5,29,0,0,80,0,0,20,2,-5,51,0.0066,-0.0029,-0.0038,1,0,3,0,0
958.141,958.141,-1,5,32,0,0,80,0,-1,20,1,-5,48,0.007,-0.0027,-0.0029,1,0,3,0,0
958.241,958.241,-1,5,34,0,0,80,0,-1,20,1,-5,46,0.0068,-0.0033,-0.0021,1,0,2,0,0
958.341,958.341,-2,6,36,0,0,80,0,-1,20,2,-6,44,0.0071,-0.0049,-0.0007,1,0,5,0,0
958.441,958.441,-2,7,38,0,0,80,0,-1,19,2,-7,42,0.0075,-0.0051,0.0001,1,0,4,0,0
958.541,958.541,-2,8,41,0,0,80,0,-1,17,2,-8,39,0.0086,-0.0049,0.0006,1,0,5,0,0
958.641,958.641,-2,8,43,0,0,80,0,-1,17,2,-8,37,0.0075,-0.0052,0.002,1,0,3,0,0
958.741,958.741,-1,9,45,0,0,80,0,-1,16,1,-9,35,0.0074,-0.0049,0.0033,1,0,2,0,0
958.841,958.841,-2,9,47,0,0,80,0,-1,15,2,-9,33,0.0072,-0.0041,0.0054,1,0,1,0,0
958.941,958.941,-2,9,49,0,0,80,0,-1,14,2,-9,31,0.0074,-0.004,0.0052,1,0,2,0,0
959.041,959.041,-3,9,50,0,0,80,0,-1,13,3,-9,30,0.0075,-0.0039,0.0057,0.9999,0,1,0,0
959.141,959.141,-3,10,52,0,0,80,0,-2,12,3,-10,28,0.0076,-0.0039,0.0061,0.9999,0,2,0,-1
959.241,959.241,-2,10,54,0,0,80,0,-1,11,2,-10,26,0.0066,-0.0043,0.0059,1,0,1,0,0
959.341,959.341,-2,10,56,0,0,80,0,-1,11,2,-10,24,0.0062,-0.0044,0.0057,1,0,1,0,0
959.441,959.441,-3,11,57,0,0,80,0,-2,10,3,-11,23,0.0067,-0.0043,0.0055,1,-1,2,0,-1
959.541,959.541,-4,12,59,0,0,80,0,-2,9,4,-12,21,0.0071,-0.0038,0.0047,1,-3,4,0,-1
959.641,959.641,-4,12,61,0,0,80,0,-2,8,4,-12,19,0.0058,-0.0038,0.0041,1,-2,2,0,-1
959.741,959.741,-4,12,61,0,0,80,0,-2,8,4,-12,19,0.0056,-0.0037,0.0033,1,-1,0,0,-1
959.841,959.841,-4,12,62,0,0,80,0,-2,8,4,-12,18,0.0062,-0.0033,0.0029,1,0,0,0,-1
959.941,959.941,-4,12,64,0,0,80,0,-2,7,4,-12,16,0.0056,-0.003,0.0016,1,0,1,0,-1
960.041,960.041,-4,13,65,0,0,80,0,-2,7,4,-13,15,0.0054,-0.0032,0.0012,1,0,1,0,-1
960.141,960.141,-4,13,66,0,0,80,0,-2,6,4,-13,14,0.0051,-0.0024,-0.0003,1,0,1,0,-1
960.241,960.241,-5,13,67,0,0,80,0,-2,6,5,-13,13,0.0054,-0.0024,-0.0003,1,-1,2,0,-1
960.341,960.341,-5,13,68,0,0,80,0,-2,5,5,-13,12,0.0059,-0.0023,-0.0006,1,0,1,0,-1
960.441,960.441,-5,14,69,0,0,80,0,-2,5,5,-14,11,0.0065,-0.0026,-0.0009,1,0,0,0,-1
960.541,960.541,-6,14,70,0,0,80,1,-2,4,6,-14,10,0.0065,-0.0026,-0.0011,1,0,2,1,-1
960.641,960.641,-6,14,72,0,0,80,1,-2,3,6,-14,8,0.0062,-0.0026,-0.0011,1,-1,1,1,-1
960.741,960.741,-6,14,72,0,0,80,1,-2,3,6,-14,8,0.0059,-0.0028,-0.0006,1,0,1,1,-1
960.841,960.841,-6,14,73,0,0,80,1,-2,2,6,-14,7,0.0055,-0.0028,-0.0012,1,0,1,1,-1
960.941,960.941,-6,14,73,0,0,80,1,-2,2,6,-14,7,0.0069,-0.0022,-0.0001,1,-1,0,1,-1
961.041,961.041,-7,14,74,0,0,80,1,-2,2,7,-14,6,0.0082,-0.0021,0.0008,1,0,-1,0,-2
961.151,961.151,-7,14,75,0,0,80,1,-2,1,7,-14,5,0.0091,-0.0026,0.001,1,-1,-1,0,-2
961.251,961.251,-7,14,76,0,0,80,1,-2,1,7,-14,4,0.0086,-0.0032,0.0008,1,-2,1,0,-2
961.351,961.351,-8,15,77,0,0,80,1,-2,0,8,-15,3,0.0071,-0.0033,0.0005,1,-2,1,0,-2
961.451,961.451,-8,14,78,0,0,80,1,-2,0,8,-14,2,0.0071,-0.0031,0.003,1,-1,-1,0,-2
961.551,961.551,-8,14,78,0,0,80,1,-2,0,8,-14,2,0.0075,-0.0025,0.0137,0.9999,-2,-3,0,-2
961.651,961.651,-8,13,78,0,0,80,1,-2,0,8,-13,2,0.0061,-0.0022,0.0296,0.9995,-7,-4,0,-2
961.751,961.751,-9,13,78,0,0,80,1,-2,0,9,-13,2,0.0044,-0.0019,0.0501,0.9987,-3,0,0,-2
961.851,961.851,-9,13,79,0,0,80,1,-2,0,9,-13,1,0.0031,-0.001,0.0735,0.9973,-2,-1,0,-2
961.951,961.951,-10,13,80,0,0,80,2,-2,0,10,-13,0,0.0025,-0.0003,0.0994,0.995,-3,0,1,-2
962.051,962.051,-10,13,80,0,0,80,2,-2,0,10,-13,0,0.0041,0.0001,0.1274,0.9918,-4,0,1,-2
962.151,962.151,-10,13,80,0,0,80,2,-2,0,10,-13,0,0.0053,0.0004,0.1551,0.9879,0,0,1,-2
962.251,962.251,-11,13,80,0,0,80,2,-2,0,11,-13,0,0.0061,0.0006,0.183,0.9831,-3,0,1,-2
962.351,962.351,-11,13,81,0,0,80,2,-2,0,11,-13,-1,0.0065,0.0018,0.2107,0.9775,-1,0,0,-2
962.451,962.451,-11,13,81,0,0,80,2,-2,0,11,-13,-1,0.0073,0.0023,0.2386,0.9711,-3,0,0,-2
962.551,962.551,-11,12,81,0,0,80,2,-2,0,11,-12,-1,0.0073,0.0023,0.2654,0.9641,-2,-1,0,-2
962.651,962.651,-12,12,81,0,0,80,2,-2,0,12,-12,-1,0.0076,0.0017,0.2922,0.9563,0,-1,0,-2
962.751,962.751,-12,12,81,0,0,80,2,-2,0,12,-12,-1,0.0074,-0.0004,0.317,0.9484,-1,0,0,-2
962.851,962.851,-12,12,82,0,0,80,2,-2,0,12,-12,-2,0.0067,-0.0015,0.3432,0.9392,-1,0,0,-2
962.951,962.951,-12,11,82,0,0,80,2,-2,0,12,-11,-2,0.007,-0.0005,0.368,0.9298,-1,0,0,-2
963.051,963.051,-12,11,82,0,0,80,2,-2,0,12,-11,-2,0.007,0.0009,0.3913,0.9202,0,-1,0,-2
963.151,963.151,-13,12,83,0,0,80,2,-2,0,13,-12,-3,0.0065,0.0017,0.4161,0.9093,-2,0,0,-2
963.251,963.251,-14,12,83,0,0,80,2,-2,0,14,-12,-3,0.0061,0.0017,0.4394,0.8983,-1,0,0,-2
963.351,963.351,-14,12,83,0,0,80,2,-2,0,14,-12,-3,0.0061,0.0017,0.4394,0.8983,-1,0,0,-2
963.451,963.451,-13,12,83,0,0,80,2,-2,0,13,-12,-3,0.0063,0.0011,0.4621,0.8868,-1,-2,0,-2
963.551,963.551,-13,11,83,0,0,80,2,-2,0,13,-11,-3,0.0069,0.0004,0.4856,0.8741,-2,0,0,-2
963.651,963.651,-13,10,83,0,0,80,2,-2,0,13,-10,-3,0.0073,-0.0002,0.5087,0.8609,0,0,0,-2
963.751,963.751,-14,10,83,0,0,80,2,-2,0,14,-10,-3,0.0074,0,0.5303,0.8478,0,0,0,-2
963.851,963.851,-15,10,84,0,0,80,2,-1,-1,15,-10,-4,0.0068,0.0004,0.551,0.8345,-3,0,0,-2
963.951,963.951,-14,10,84,0,0,80,2,-2,-1,14,-10,-4,0.0068,0.0008,0.5712,0.8208,-2,0,-1,-2
964.051,964.051,-14,10,84,0,0,80,2,-2,-1,14,-10,-4,0.0067,0.0011,0.5909,0.8067,-1,-1,-1,-2
964.151,964.151,-14,9,84,0,0,80,2,-1,-1,14,-9,-4,0.006,0.0008,0.6099,0.7924,-2,0,0,-2
964.251,964.251,-16,9,84,0,0,80,2,-1,-1,16,-9,-4,0.0052,0.0002,0.6281,0.7781,-7,2,0,-2
964.351,964.351,-15,8,84,0,0,80,2,-1,-1,15,-8,-4,0.0053,0.0002,0.6458,0.7635,-9,2,0,-2
964.451,964.451,-15,9,84,0,0,80,2,-1,-1,15,-9,-4,0.0072,0.0004,0.6637,0.748,-5,1,0,-2
964.551,964.551,-16,8,84,0,0,80,2,-1,-1,16,-8,-4,0.0076,0.0011,0.6815,0.7317,-9,1,0,-2
964.651,964.651,-16,7,85,0,0,80,2,-1,-1,16,-7,-5,0.0061,0.0022,0.6981,0.716,-2,1,0,-2
964.751,964.751,-17,6,85,0,0,80,2,-1,-1,17,-6,-5,0.0055,0.0029,0.7136,0.7005,-1,3,-1,-1
964.851,964.851,-18,6,85,0,0,80,2,-1,-1,18,-6,-5,0.0054,0.0032,0.7295,0.684,-1,6,-1,-1
964.951,964.951,-18,6,85,0,0,80,2,-1,-1,18,-6,-5,0.0055,0.0029,0.7458,0.6662,-1,3,-1,-1
965.051,965.051,-17,5,85,0,0,80,2,-1,-1,17,-5,-5,0.0052,0.0026,0.7599,0.65,-1,4,-1,-1
965.151,965.151,-17,4,84,0,0,80,3,0,-1,17,-4,-4,0.0052,0.0024,0.7737,0.6335,0,6,0,-2
965.261,965.261,-18,4,85,0,0,80,3,0,-1,18,-4,-5,0.0059,0.0018,0.7881,0.6156,-1,4,0,-2
965.361,965.361,-19,3,85,0,0,80,3,0,-1,19,-3,-5,0.0067,0.0026,0.8018,0.5975,-1,6,0,-2
965.461,965.461,-19,3,85,0,0,80,3,0,-1,19,-3,-5,0.0065,0.0039,0.8145,0.5801,0,8,0,-2
965.561,965.561,-20,2,85,0,0,80,3,0,-1,20,-2,-5,0.0061,0.0048,0.8261,0.5635,-2,6,-1,-2
965.661,965.661,-21,1,85,0,0,80,3,0,-1,21,-1,-5,0.0063,0.0057,0.8375,0.5464,-2,6,-1,-2
965.761,965.761,-21,0,85,0,0,80,3,0,-1,21,0,-5,0.0065,0.0059,0.8497,0.5272,0,5,-1,-2
965.861,965.861,-21,0,85,0,0,80,3,0,-1,21,0,-5,0.0061,0.0051,0.8617,0.5073,-2,4,-1,-2
965.961,965.961,-21,-1,85,0,0,80,4,0,-1,21,1,-5,0.0058,0.0046,0.8719,0.4896,-4,2,-2,-3
966.061,966.061,-21,-2,85,0,0,80,3,0,-1,21,2,-5,0.0067,0.0049,0.8811,0.4728,-5,2,-1,-2
966.161,966.161,-22,-2,85,0,0,80,4,0,-1,22,2,-5,0.0077,0.0053,0.8901,0.4556,-3,5,-2,-3
966.261,966.261,-23,-3,85,0,0,80,4,0,-1,23,3,-5,0.0086,0.0057,0.899,0.4379,-3,6,-2,-3
966.361,966.361,-24,-5,86,0,0,80,4,1,-2,24,5,-6,0.0097,0.0067,0.9079,0.4191,-5,7,-1,-3
966.461,966.461,-24,-7,86,0,0,80,4,1,-2,24,7,-6,0.0099,0.0076,0.9167,0.3993,-6,6,-1,-3
966.561,966.561,-24,-7,86,0,0,80,4,1,-2,24,7,-6,0.0098,0.0076,0.9167,0.3993,-9,5,-1,-3
966.661,966.661,-22,-10,86,0,0,80,3,2,-2,22,10,-6,0.0067,0.007,0.9392,0.3432,-7,1,-1,-3
966.761,966.761,-22,-9,86,0,0,80,4,1,-2,22,9,-6,0.007,0.0077,0.9397,0.342,-2,1,-2,-3
966.861,966.861,-22,-8,85,0,0,80,4,1,-1,22,8,-5,0.0057,0.0073,0.9463,0.3233,-2,1,-2,-3
966.961,966.961,-22,-8,85,0,0,80,4,1,-1,22,8,-5,0.0057,0.0073,0.9463,0.3233,-2,1,-2,-3
967.061,967.061,-21,-8,85,0,0,80,4,1,-1,21,8,-5,0.0027,0.0062,0.964,0.2659,-3,1,-2,-2
967.161,967.161,-21,-11,85,0,0,80,3,2,-1,21,11,-5,0.0045,0.0068,0.9641,0.2655,-5,4,-1,-3
967.261,967.261,-21,-14,86,0,0,80,3,2,-2,21,14,-6,0.0066,0.0062,0.9686,0.2485,-6,4,-1,-3
967.361,967.361,-20,-15,86,0,0,80,3,2,-2,20,15,-6,0.0073,0.0069,0.9726,0.2322,-11,5,-1,-3
967.461,967.461,-20,-16,86,0,0,80,2,2,-2,20,16,-6,0.006,0.0079,0.9762,0.2165,-5,6,0,-2
967.561,967.561,-20,-17,86,0,0,80,6,6,-2,20,17,-6,0.0048,0.0076,0.9793,0.2022,-3,4,-3,-7
967.661,967.661,-19,-17,86,0,0,80,2,2,-2,19,17,-6,0.0037,0.0077,0.9817,0.1903,-5,1,-1,-2
967.761,967.761,-19,-18,86,0,0,80,6,6,-2,19,18,-6,0.003,0.0078,0.9835,0.1805,-2,7,-3,-7
967.861,967.861,-18,-18,86,0,0,80,2,2,-2,18,18,-6,0.004,0.0077,0.9854,0.1698,-3,0,-1,-2
967.961,967.961,-18,-19,86,0,0,80,6,6,-2,18,19,-6,0.004,0.0076,0.987,0.1604,-3,4,-3,-7
968.061,968.061,-17,-20,86,0,0,80,6,6,-2,17,20,-6,0.0054,0.01,0.9882,0.153,-6,0,-3,-7
968.161,968.161,-16,-21,86,0,0,80,5,7,-2,16,21,-6,0.0059,0.0099,0.9891,0.1465,-7,0,-2,-8
968.261,968.261,-16,-22,86,0,0,80,5,7,-2,16,22,-6,0.0061,0.0106,0.9899,0.141,-8,1,-2,-8
968.361,968.361,-15,-23,86,0,0,80,5,7,-2,15,23,-6,0.0049,0.0097,0.9906,0.136,-8,4,-2,-8
968.461,968.461,-14,-24,86,0,0,80,5,7,-2,14,24,-6,0.005,0.0092,0.9913,0.1311,-10,3,-3,-8
968.561,968.561,-13,-24,86,0,0,80,5,7,-2,13,24,-6,0.0065,0.0121,0.9918,0.1267,-9,0,-3,-8
968.661,968.661,-13,-24,85,0,0,80,5,7,-1,13,24,-5,0.0058,0.0149,0.9922,0.1232,-6,-3,-3,-8
968.761,968.761,-11,-24,85,0,0,80,1,4,-1,11,24,-5,0.0045,0.0144,0.9926,0.1203,-8,-1,0,-4
968.861,968.861,-10,-25,86,0,0,80,1,4,-2,10,25,-6,0.0042,0.0117,0.993,0.1177,-10,1,0,-4
968.961,968.961,-9,-25,86,0,0,80,1,4,-2,9,25,-6,0.0052,0.0092,0.9931,0.1166,-11,0,0,-4
969.061,969.061,-8,-25,86,0,0,80,1,4,-2,8,25,-6,0.0052,0.0092,0.9931,0.1166,-11,0,0,-4
969.171,969.171,-6,-25,86,0,0,80,1,4,-2,6,25,-6,0.0058,0.0084,0.9935,0.1131,-11,1,0,-4
969.271,969.271,-5,-25,86,0,0,80,0,4,-2,5,25,-6,0.0014,0.0069,0.9937,0.1119,-9,0,0,-3
969.371,969.371,-3,-25,86,0,0,80,0,4,-2,3,25,-6,-0.0013,0.0049,0.9938,0.1107,-9,0,0,-3
969.471,969.471,-2,-25,86,0,0,80,0,4,-2,2,25,-6,-0.0006,0.0055,0.994,0.109,-11,1,0,-3
969.571,969.571,-1,-25,86,0,0,80,0,4,-2,1,25,-6,0.0004,0.0075,0.9941,0.1083,-10,-2,0,-3
969.671,969.671,0,-25,85,0,0,80,0,4,-1,0,25,-5,0.0014,0.0101,0.9942,0.107,-7,-1,0,-3
969.771,969.771,2,-25,85,0,0,80,0,4,-1,-2,25,-5,0.0018,0.0101,0.9943,0.1058,-7,0,0,-3
969.871,969.871,3,-25,85,0,0,80,0,4,-1,-3,25,-5,0.0006,0.0088,0.9944,0.105,-2,0,0,-3
969.971,969.971,4,-24,85,0,0,80,0,4,-1,-4,24,-5,0.0003,0.0096,0.9946,0.1038,-5,0,0,-3
970.071,970.071,5,-24,85,0,0,80,-1,4,-1,-5,24,-5,0.0003,0.0104,0.9947,0.1022,-3,0,1,-3
970.171,970.171,7,-24,85,0,0,80,-1,4,-1,-7,24,-5,0.0002,0.0106,0.9949,0.1005,-6,-3,1,-3
970.271,970.271,8,-24,85,0,0,80,-1,4,-1,-8,24,-5,0,0.0112,0.995,0.0989,-5,-3,1,-3
970.371,970.371,9,-23,85,0,0,80,-1,4,-1,-9,23,-5,0.0003,0.0106,0.9952,0.0974,-6,-3,1,-3
970.471,970.471,10,-23,85,0,0,80,-1,4,-1,-10,23,-5,0.0007,0.0105,0.9954,0.0957,-3,-3,1,-3
970.571,970.571,11,-22,85,0,0,80,-2,3,-1,-11,22,-5,0.0002,0.0107,0.9954,0.0947,-4,-3,2,-2
970.671,970.671,12,-22,85,0,0,80,-2,3,-1,-12,22,-5,-0.0004,0.0113,0.9955,0.0943,-5,-3,2,-2
970.771,970.771,13,-21,85,0,0,80,-2,3,-1,-13,21,-5,0.0003,0.0111,0.9957,0.0921,-3,-6,2,-2
970.871,970.871,14,-20,84,0,0,80,-2,3,-1,-14,20,-4,-0.0002,0.0111,0.9958,0.0904,-3,-7,2,-2
970.971,970.971,15,-19,84,0,0,80,-2,2,-1,-15,19,-4,-0.0009,0.0114,0.9959,0.0896,-3,-9,2,-1
971.071,971.071,16,-19,84,0,0,80,-2,2,-1,-16,19,-4,-0.0004,0.0107,0.9961,0.0872,-1,-6,2,-1
971.171,971.171,17,-18,84,0,0,80,-2,2,-1,-17,18,-4,-0.0003,0.0092,0.9964,0.0845,-3,-7,2,-1
971.271,971.271,18,-16,84,0,0,80,-2,2,-1,-18,16,-4,0.0002,0.0086,0.9965,0.0836,-1,-5,2,-1
971.371,971.371,19,-15,83,0,0,80,-3,2,0,-19,15,-3,-0.0001,0.0082,0.9965,0.0829,-2,-4,3,-1
971.471,971.471,20,-13,83,0,0,80,-3,2,0,-20,13,-3,-0.0004,0.0071,0.9965,0.0828,-1,-8,3,-1
971.571,971.571,20,-12,83,0,0,80,-3,2,0,-20,12,-3,-0.0002,0.0077,0.9966,0.0823,0,-7,3,-1
971.671,971.671,21,-12,84,0,0,80,-3,2,-1,-21,12,-4,-0.0002,0.0081,0.9966,0.0814,-1,-9,3,-1
971.771,971.771,22,-12,84,0,0,80,-3,2,-1,-22,12,-4,-0.0002,0.0078,0.9966,0.0816,-3,-9,3,-1
971.871,971.871,22,-10,84,0,0,80,-4,1,-1,-22,10,-4,-0.0005,0.0077,0.9967,0.0808,-3,-14,4,0
971.971,971.971,23,-8,83,0,0,80,-4,1,0,-23,8,-3,-0.0013,0.0072,0.9967,0.0807,-3,-10,4,0
972.071,972.071,24,-7,83,0,0,80,-4,1,0,-24,7,-3,-0.0006,0.0056,0.9967,0.0808,-5,-12,4,0
972.171,972.171,25,-6,84,0,0,80,-4,0,-1,-25,6,-4,0,0.0045,0.9968,0.0802,-2,-13,3,0
972.271,972.271,25,-6,84,0,0,80,-4,0,-1,-25,6,-4,0.0002,0.0039,0.9967,0.0807,-1,-9,3,0
972.371,972.371,25,-5,84,0,0,80,-4,0,-1,-25,5,-4,-0.0009,0.0024,0.9967,0.0806,0,-3,3,0
972.471,972.471,25,-3,84,0,0,80,-4,0,-1,-25,3,-4,-0.0019,0.0009,0.9969,0.0791,-1,-8,3,0
972.571,972.571,26,-1,84,0,0,80,-4,0,-1,-26,1,-4,-0.0024,0.001,0.9969,0.0782,0,-6,3,0
972.671,972.671,27,-1,84,0,0,80,-4,0,-1,-27,1,-4,-0.0012,0.0009,0.997,0.0779,0,-5,3,0
972.771,972.771,27,1,83,0,0,80,-4,0,0,-27,-1,-3,0.0001,0.0009,0.9971,0.0767,1,-3,3,0
972.871,972.871,27,2,83,0,0,80,-4,0,0,-27,-2,-3,0.0002,0.0022,0.9972,0.0754,0,-3,3,0
972.971,972.971,27,2,83,0,0,80,-4,0,0,-27,-2,-3,-0.0006,0.0033,0.9972,0.0743,0,-2,3,0
973.071,973.071,28,3,83,0,0,80,-4,0,0,-28,-3,-3,-0.0014,0.0033,0.9974,0.0726,1,-2,3,0
973.171,973.171,27,4,83,0,0,80,-4,0,0,-27,-4,-3,-0.002,0.0028,0.9974,0.0719,0,-7,3,0
973.281,973.281,27,5,83,0,0,80,-4,0,0,-27,-5,-3,-0.0026,0.0027,0.9975,0.0709,1,-3,3,0
973.381,973.381,27,6,83,0,0,80,-4,0,0,-27,-6,-3,-0.0023,0.0022,0.9975,0.0699,2,-5,3,0
973.481,973.481,27,6,83,0,0,80,-4,0,0,-27,-6,-3,-0.002,0.0018,0.9975,0.0701,2,-7,3,0
