T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045,0.0033,0.0277,-0.9996,0,0
522.821,522.821,6,-1,1,0,0,80,0,0,20,-6,1,79,-0.0045,0.0033,0.0277,-0.9996,0,0
522.881,522.881,-2,0,2,0,0,80,0,0,20,2,0,78,-0.0044,0.0032,0.0279,-0.9996,0,0
522.981,522.981,-3,0,2,0,0,80,0,0,20,3,0,78,-0.0045,0.003,0.0282,-0.9996,0,0
523.081,523.081,-2,0,2,0,0,80,0,0,20,2,0,78,-0.0043,0.0031,0.0276,-0.9996,0,0
523.181,523.181,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0044,0.0033,0.0279,-0.9996,0,0
523.281,523.281,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0044,0.0033,0.0279,-0.9996,0,0
523.381,523.381,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0046,0.0034,0.0277,-0.9996,0,0
523.481,523.481,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0046,0.0033,0.0274,-0.9996,0,0
523.581,523.581,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0047,0.0036,0.0274,-0.9996,0,0
523.681,523.681,-2,0,2,0,0,80,0,0,20,2,0,78,-0.0047,0.0034,0.0276,-0.9996,0,0
523.781,523.781,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0045,0.0034,0.0276,-0.9996,0,0
523.881,523.881,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0045,0.0035,0.0277,-0.9996,0,0
523.981,523.981,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0045,0.0034,0.0278,-0.9996,0,0
524.081,524.081,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0044,0.0031,0.0276,-0.9996,0,0
524.181,524.181,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0043,0.0033,0.0276,-0.9996,0,0
524.281,524.281,-2,-1,2,0,0,80,0,0,20,2,1,78,-0.0045,0.0033,0.0277,-0.9996,0,0
524.381,524.381,-2,0,2,0,0,80,0,0,20,2,0,78,-0.0044,0.0033,0.0274,-0.9996,0,0
