T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,-0.001,0,1,0,0
137.781,137.781,0,0,0,0,0,80,0,0,20,0,0,80,0.0003,-0.001,0,1,0,0
137.881,137.881,0,0,0,0,0,80,0,0,20,0,0,80,0.0003,-0.0011,0,1,0,0
137.981,137.981,0,0,0,0,0,80,0,0,20,0,0,80,0.0002,-0.0008,-0.0001,1,0,0
138.081,138.081,0,0,0,0,0,80,0,0,20,0,0,80,0.0002,-0.0009,0,1,0,0
138.181,138.181,0,0,0,0,0,80,0,0,20,0,0,80,0.0003,-0.001,0,1,0,0
138.281,138.281,0,0,0,0,0,80,0,0,20,0,0,80,0.0002,-0.0008,0,1,0,0
138.381,138.381,0,0,0,0,0,80,0,0,20,0,0,80,0.0004,-0.0008,0,1,0,0
138.481,138.481,0,0,0,0,0,80,0,0,20,0,0,80,0.0001,-0.0011,0.0001,1,0,0
138.581,138.581,0,0,0,0,0,80,0,0,20,0,0,80,0.0003,-0.0009,0.0004,1,0,0
138.681,138.681,0,0,0,0,0,80,0,0,20,0,0,80,0.0019,0.001,-0.0002,1,0,0
138.781,138.781,1,0,1,0,0,80,0,0,20,-1,0,79,0.0029,0.0033,0.0002,1,0,0
138.881,138.881,1,0,2,0,0,80,0,0,20,-1,0,78,0.0021,0.003,0.0001,1,0,0
138.981,138.981,1,0,3,0,0,80,0,0,20,-1,0,77,0.001,0.0001,-0.0003,1,0,0
139.081,139.081,1,1,4,0,0,80,0,0,20,-1,-1,76,-0.0007,-0.0024,-0.001,1,0,0
139.181,139.181,1,1,5,0,0,80,0,0,20,-1,-1,75,-0.0018,-0.0045,-0.0015,1,0,0
139.281,139.281,1,0,7,0,0,80,0,0,20,-1,0,73,-0.0016,-0.0057,-0.0024,1,0,0
139.381,139.381,2,1,9,0,0,80,0,0,20,-2,-1,71,-0.001,-0.0056,-0.0025,1,0,0
139.481,139.481,2,1,11,0,0,80,0,0,20,-2,-1,69,0.0008,-0.0048,-0.0024,1,0,0
139.581,139.581,2,1,12,0,0,80,0,0,20,-2,-1,68,0.0032,-0.0025,-0.0022,1,0,0
139.681,139.681,2,1,14,0,0,80,0,0,20,-2,-1,66,0.0054,-0.0012,-0.0017,1,0,0
139.781,139.781,2,2,15,0,0,80,0,0,20,-2,-2,65,0.0057,-0.0009,-0.0013,1,0,0
139.881,139.881,2,2,17,0,0,80,0,0,20,-2,-2,63,0.0053,-0.002,-0.0008,1,0,0
139.981,139.981,2,3,19,0,0,80,0,0,20,-2,-3,61,0.0048,-0.0028,-0.0001,1,0,0
140.081,140.081,2,3,21,0,0,80,0,0,20,-2,-3,59,0.005,-0.0036,0.0005,1,0,0
140.181,140.181,2,3,23,0,0,80,0,0,20,-2,-3,57,0.0056,-0.0041,0.0014,1,0,0
140.281,140.281,3,4,24,0,0,80,0,0,20,-3,-4,56,0.0055,-0.0039,0.0018,1,0,0
140.381,140.381,3,4,26,0,0,80,0,0,20,-3,-4,54,0.0051,-0.0034,0.002,1,0,0
140.481,140.481,3,4,28,0,0,80,0,0,20,-3,-4,52,0.0052,-0.003,0.0019,1,0,0
140.581,140.581,3,5,30,0,0,80,0,0,20,-3,-5,50,0.0056,-0.0029,0.0019,1,0,0
140.681,140.681,3,5,33,0,0,80,0,0,20,-3,-5,47,0.0054,-0.0027,0.0014,1,0,0
140.781,140.781,3,6,35,0,0,80,0,0,20,-3,-6,45,0.0054,-0.0031,0.0004,1,0,0
140.881,140.881,4,7,37,0,0,80,0,0,19,-4,-7,43,0.0049,-0.0034,-0.0003,1,0,0
140.981,140.981,4,7,39,0,0,80,0,0,18,-4,-7,41,0.0052,-0.0037,-0.0014,1,0,0
141.081,141.081,4,7,41,0,0,80,0,0,17,-4,-7,39,0.0047,-0.0039,-0.0022,1,0,0
141.181,141.181,4,8,44,0,0,80,0,0,16,-4,-8,36,0.0049,-0.0034,-0.0032,1,0,0
141.281,141.281,4,8,46,0,0,80,0,-1,15,-4,-8,34,0.0051,-0.0036,-0.0035,1,0,0
141.381,141.381,4,9,48,0,0,80,0,-1,14,-4,-9,32,0.0052,-0.0035,-0.0034,1,0,0
141.481,141.481,5,10,51,0,0,80,0,-1,13,-5,-10,29,0.0047,-0.0037,-0.0028,1,0,0
141.591,141.591,5,10,53,0,0,80,0,-1,12,-5,-10,27,0.0043,-0.0035,-0.0023,1,0,0
141.691,141.691,5,10,55,0,0,80,0,-1,11,-5,-10,25,0.004,-0.0032,-0.0014,1,0,0
141.791,141.791,6,11,56,0,0,80,0,-1,11,-6,-11,24,0.0028,-0.0034,-0.0004,1,0,0
141.891,141.891,6,11,58,0,0,80,0,-1,10,-6,-11,22,0.0018,-0.0035,0.0009,1,0,0
141.991,141.991,6,12,59,0,0,80,0,-1,9,-6,-12,21,0.0013,-0.0035,0.0017,1,0,0
142.091,142.091,6,12,61,0,0,80,0,-1,8,-6,-12,19,0.0014,-0.0032,0.0029,1,0,0
142.191,142.191,6,13,62,0,0,80,0,-1,8,-6,-13,18,0.001,-0.003,0.0036,1,0,0
142.291,142.291,7,13,63,0,0,80,0,-1,7,-7,-13,17,0.0017,-0.003,0.0043,1,0,0
142.391,142.391,7,14,64,0,0,80,0,-1,7,-7,-14,16,0.002,-0.0033,0.0039,1,0,0
142.491,142.491,7,14,65,0,0,80,0,-1,7,-7,-14,15,0.0021,-0.0039,0.0039,1,0,0
142.591,142.591,8,14,66,0,0,80,0,-1,6,-8,-14,14,0.002,-0.004,0.0034,1,0,0
142.691,142.691,8,15,67,0,0,80,-1,-1,6,-8,-15,13,0.0017,-0.0039,0.0025,1,-1,0
142.791,142.791,8,15,68,0,0,80,-1,-1,5,-8,-15,12,0.0016,-0.0033,0.0021,1,-1,0
142.891,142.891,9,16,69,0,0,80,-1,-1,5,-9,-16,11,0.0014,-0.0032,0.0007,1,-1,0
142.991,142.991,9,16,70,0,0,80,-1,-1,4,-9,-16,10,0.0018,-0.0034,0.0001,1,-1,0
143.091,143.091,10,16,71,0,0,80,-1,-1,4,-10,-16,9,0.0026,-0.0035,-0.0013,1,0,-1
143.191,143.191,10,17,71,0,0,80,-1,-1,3,-10,-17,9,0.0025,-0.0033,-0.0029,1,0,-1
143.291,143.291,11,17,72,0,0,80,-1,-1,3,-11,-17,8,0.0021,-0.0034,-0.0052,1,0,-1
143.391,143.391,11,17,73,0,0,80,-1,-1,2,-11,-17,7,0.0026,-0.0036,-0.0072,1,0,-1
143.491,143.491,12,18,74,0,0,80,-1,-1,2,-12,-18,6,0.0024,-0.0053,-0.0089,0.9999,0,-1
143.591,143.591,12,19,75,0,0,80,-1,-2,1,-12,-19,5,0.003,-0.0071,-0.01,0.9999,0,-2
143.691,143.691,13,19,75,0,0,80,-1,-2,1,-13,-19,5,0.0042,-0.0072,-0.0101,0.9999,0,-2
143.791,143.791,13,20,75,0,0,80,-1,-2,1,-13,-20,5,0.0058,-0.0058,-0.0095,0.9999,0,-2
143.891,143.891,14,20,76,0,0,80,-1,-2,1,-14,-20,4,0.0074,-0.0046,-0.0088,0.9999,0,-2
143.991,143.991,14,20,76,0,0,80,-1,-2,1,-14,-20,4,0.0071,-0.0045,-0.0173,0.9998,0,-2
144.091,144.091,15,21,77,0,0,80,-1,-2,0,-15,-21,3,0.0062,-0.0038,-0.0323,0.9995,0,-2
144.191,144.191,15,21,77,0,0,80,-1,-2,0,-15,-21,3,0.0057,-0.0025,-0.0513,0.9987,0,-2
144.291,144.291,15,21,77,0,0,80,-1,-2,0,-15,-21,3,0.0053,-0.0017,-0.0738,0.9973,0,-2
144.391,144.391,16,22,78,0,0,80,-1,-2,0,-16,-22,2,0.0048,-0.0011,-0.0975,0.9952,0,-2
144.491,144.491,16,22,78,0,0,80,-1,-2,0,-16,-22,2,0.0045,-0.0015,-0.1239,0.9923,0,-2
144.591,144.591,17,22,78,0,0,80,-1,-2,0,-17,-22,2,0.0048,-0.0021,-0.1502,0.9886,0,-2
144.691,144.691,17,22,79,0,0,80,-1,-2,0,-17,-22,1,0.0049,-0.0028,-0.1766,0.9843,0,-2
144.791,144.791,18,21,79,0,0,80,-1,-2,0,-18,-21,1,0.0045,-0.0038,-0.2038,0.979,0,-2
