length_x,length_y,cmd_raw_x,cmd_raw_y
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
-1,-0,-0.391373,0
-1,-0,-0.400547,0
-1,-0,-0.400064,0
-1,1,-0.4000128,0.391373
-1,1,-0.40000256,0.400547
-1,-0,-0.400000512,0.308691
-2,1,-0.491373102399999,0.390838799999999
-2,1,-0.50054702048,0.40048556
-2,1,-0.500064004096,0.400051712
-2,1,-0.5000128008192,0.4000103424
-2,2,-0.50000256016384,0.49137506848
-2,2,-0.500000512032768,0.500547413696
-2,3,-0.500000102406554,0.591437082739199
-2,3,-0.500000020481311,0.60055981654784
-2,3,-0.500000004096262,0.600066563309568
-3,4,-0.591373000819252,0.691386312661913
-3,4,-0.600547000163851,0.700549662532383
-3,4,-0.60006400003277,0.700064532506476
-3,5,-0.600012800006554,0.791385906501295
-3,5,-0.600002560001311,0.800549581300259
-3,6,-0.600000512000262,0.891437516260052
-4,7,-0.691373102400052,0.99193290325201
-4,7,-0.70054702048001,1.0006135806504
-4,7,-0.700064004096002,1.00007731613008
-4,8,-0.700012800819201,1.09138846322602
-4,8,-0.70000256016384,1.1005500926452
-4,9,-0.700000512032768,1.19143761852904
-5,10,-0.791373102406553,1.29193292370581
-5,10,-0.800526384117675,1.30059294837753
-5,10,-0.800064004096262,1.30007731694823
-6,11,-0.891385800819252,1.39138846338965
-6,11,-0.90054956016385,1.40055009267793
-6,12,-0.90006451203277,1.49143761853559
-6,12,-0.900012902406554,1.50055992370712
-6,13,-0.900002580481311,1.59143958474142
-7,13,-0.991373516096261,1.60056031694828
-7,14,-1.00054710321925,1.69143966338966
-7,14,-1.00006402064385,1.70056033267793
-8,14,-1.09138580412877,1.70006666653559
-8,15,-1.10054956082575,1.79138633330712
-8,15,-1.10006451216515,1.80054966666142
-9,16,-1.19138590243303,1.89143753333228
-9,16,-1.20054958048661,1.90055990666646
-10,16,-1.29143751609732,1.90006658133329
-10,17,-1.30055990321946,1.99138631626666
-11,17,-1.39143958064389,2.00054966325333
-11,17,-1.40056031612878,2.00006453265067
-12,18,-1.49143966322576,2.09138590653014
-12,19,-1.50056033264515,2.19192258130603
-13,19,-1.59143966652903,2.20061151626121
-13,20,-1.60056033330581,2.29144990325224
-14,20,-1.69143966666116,2.30056238065045
